"human_ensembl","rank","human_symbol","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene","subtype"
"ENSG00000103811","Rank 2","CTSH",4.67542705202142,0.671273112710773,0.504045881873931,1.33176985836116,0.182935825461432,0.673805936681324,"CTSH","EN-L5-6"
"ENSG00000103811","Rank 2","CTSH",9.05534628637858,0.416441489707786,0.353365062162952,1.17850216192496,0.238596470962269,NA,"CTSH","EN-L2-3"
"ENSG00000105643","Rank 2","ARRDC2",8.33355698957924,0.0478717566288762,0.320256154598338,0.149479583581825,0.881175218307985,0.974887721794009,"ARRDC2","EN-L5-6"
"ENSG00000105643","Rank 2","ARRDC2",5.58277828383208,0.102300008077327,0.422052003326788,0.242387211222683,0.808480142938503,NA,"ARRDC2","EN-L4"
"ENSG00000105643","Rank 2","ARRDC2",18.2600522608155,-0.394459681228776,0.244690908822777,-1.61207330148286,0.106945989732593,0.423861049263326,"ARRDC2","EN-L2-3"
"ENSG00000105851","Rank 1","PIK3CG",2.42868914772665,-0.730925045584979,0.598882239184433,-1.22048208773124,0.222282175772872,NA,"PIK3CG","EN-L5-6"
"ENSG00000105851","Rank 1","PIK3CG",4.24200824584082,0.117297232633879,0.473776111706565,0.247579457333483,0.804459806643395,NA,"PIK3CG","EN-L2-3"
"ENSG00000107021","Rank 2","TBC1D13",11.0892509446421,0.0346307645283447,0.29952026568957,0.115620772599864,0.907953099164124,NA,"TBC1D13","IN-VIP"
"ENSG00000107021","Rank 2","TBC1D13",26.6611901704131,-0.240878158953713,0.230554525900765,-1.04477740357781,0.296125860794202,0.770774740184288,"TBC1D13","EN-L5-6"
"ENSG00000107021","Rank 2","TBC1D13",7.10066505050739,-0.283706023734435,0.349864094696722,-0.810903513778296,0.417421082269518,0.949568535668363,"TBC1D13","IN-PVALB"
"ENSG00000107021","Rank 2","TBC1D13",5.02792169521395,0.257984810476515,0.499466892591611,0.516520342595473,0.60549103478943,NA,"TBC1D13","EN-MIX"
"ENSG00000107021","Rank 2","TBC1D13",14.0813793994706,-0.471048494606232,0.387524193440622,-1.2155331269102,0.224162822073073,0.693667957260522,"TBC1D13","EN-PYR"
"ENSG00000107021","Rank 2","TBC1D13",42.5578265363435,-0.18440497703963,0.216815170448796,-0.850516947951206,0.395037741958471,0.710680149941685,"TBC1D13","EN-L2-3"
"ENSG00000107021","Rank 2","TBC1D13",23.246998037265,-0.382039485454708,0.255819234169866,-1.49339625182769,0.135333493521583,0.473127570855552,"TBC1D13","EN-L4"
"ENSG00000107021","Rank 2","TBC1D13",2.80134881174513,-0.0923521091160161,0.567029699737062,-0.162869968114264,0.870620817031503,0.989272865266798,"TBC1D13","IN-SV2C"
"ENSG00000107021","Rank 2","TBC1D13",2.36726717230881,0.603888644506645,0.593509012121572,1.01748858428951,0.308921060167567,0.970352407615332,"TBC1D13","IN-SST"
"ENSG00000108219","Rank 2","TSPAN14",27.5154538719388,0.0737583772656771,0.200337576568491,0.368170457729685,0.712746136929247,0.93925324871912,"TSPAN14","EN-L5-6"
"ENSG00000108219","Rank 2","TSPAN14",26.6034192498192,0.0697984633772103,0.227767846857999,0.306445639013859,0.759265363760256,0.912292286026332,"TSPAN14","EN-L4"
"ENSG00000108219","Rank 2","TSPAN14",5.6288936974666,-0.0590022448257974,0.42168179276178,-0.139921253036243,0.888722208981325,0.989617969461001,"TSPAN14","IN-PVALB"
"ENSG00000108219","Rank 2","TSPAN14",80.2556832302969,0.379196129568289,0.159413306246779,2.37869810554758,0.0173738984597262,0.188983718166846,"TSPAN14","EN-L2-3"
"ENSG00000108219","Rank 2","TSPAN14",6.40687888195018,-0.481495914673406,0.369412161722036,-1.30341110706503,0.192434446554185,0.748210934484512,"TSPAN14","EN-MIX"
"ENSG00000108219","Rank 2","TSPAN14",11.4230998356295,-0.298350156924867,0.369573237123399,-0.807282906216634,0.419503510005716,0.818121866723593,"TSPAN14","EN-PYR"
"ENSG00000108219","Rank 2","TSPAN14",8.56111511413796,0.299337248741485,0.288857548363735,1.03627982179144,0.300071617013741,NA,"TSPAN14","IN-VIP"
"ENSG00000108219","Rank 2","TSPAN14",7.40762465257641,0.334144374205349,0.38664245970445,0.864220588863337,0.387466724012494,0.938348588276854,"TSPAN14","IN-SV2C"
"ENSG00000108639","Rank 2","SYNGR2",2.72836300948252,-0.204791131555009,0.519367474932705,-0.394308734064535,0.693353115726082,NA,"SYNGR2","IN-VIP"
"ENSG00000108639","Rank 2","SYNGR2",5.60190555563878,0.783299011306981,0.421321928001295,1.85914608105698,0.0630064350647317,NA,"SYNGR2","EN-L4"
"ENSG00000108639","Rank 2","SYNGR2",12.2635094453548,0.616565529574044,0.3187250120218,1.93447488059667,0.0530547676086572,NA,"SYNGR2","EN-L2-3"
"ENSG00000108639","Rank 2","SYNGR2",7.15584230030321,0.343916408139746,0.41161698897248,0.835525299862537,0.40342200819419,0.829951004707957,"SYNGR2","EN-L5-6"
"ENSG00000108846","Rank 1","ABCC3",16.4541430988031,-0.635453769507806,0.28240576912433,-2.25014443394053,0.0244397782337721,0.22166764881717,"ABCC3","EN-L2-3"
"ENSG00000108846","Rank 1","ABCC3",12.491906565557,-0.210787824901758,0.302587546564742,-0.696617647668649,0.486042108621761,NA,"ABCC3","EN-L4"
"ENSG00000108846","Rank 1","ABCC3",14.7478052803333,-1.18781106005654,0.2963537569651,-4.00808504073199,6.12130796255745e-05,0.0303081418563157,"ABCC3","EN-L5-6"
"ENSG00000109861","Rank 2","CTSC",7.20627752559991,0.22523215411792,0.340252350161543,0.661956204008542,0.507999290063537,0.957458849454707,"CTSC","IN-PVALB"
"ENSG00000109861","Rank 2","CTSC",4.68081809267275,0.441764982409445,0.555235985524412,0.795634638111946,0.42624442756468,0.840834525797468,"CTSC","EN-L5-6"
"ENSG00000109861","Rank 2","CTSC",2.77418836839939,0.128707103358401,0.523547663671567,0.245836458242973,0.805808833337365,NA,"CTSC","IN-VIP"
"ENSG00000109861","Rank 2","CTSC",4.33651995464509,0.029743547466889,0.388083364252548,0.0766421604393564,0.938908218390723,NA,"CTSC","EN-L4"
"ENSG00000109861","Rank 2","CTSC",9.30178359779008,0.190768998850174,0.282026004523417,0.676423435394,0.498771842142997,NA,"CTSC","EN-L2-3"
"ENSG00000115415","Rank 1","STAT1",10.6884456526367,0.157483591553871,0.323308085846782,0.487100689552514,0.626186977784345,0.970750871005665,"STAT1","IN-PVALB"
"ENSG00000115415","Rank 1","STAT1",48.6619365394619,0.198322795443698,0.215029382624816,0.922305561327553,0.356369213993435,0.685739997075142,"STAT1","EN-L2-3"
"ENSG00000115415","Rank 1","STAT1",25.792077047719,0.149374281242056,0.287261620620329,0.519993868026954,0.603067848994137,0.83914484619316,"STAT1","EN-L4"
"ENSG00000115415","Rank 1","STAT1",20.5815244003207,0.0323929077891944,0.238882418132664,0.135601891685494,0.89213600991955,0.978331016957773,"STAT1","EN-L5-6"
"ENSG00000115415","Rank 1","STAT1",3.27481727627895,0.365681506157991,0.417710201649147,0.875443081625147,0.38133286729917,0.970352407615332,"STAT1","IN-SST"
"ENSG00000115415","Rank 1","STAT1",18.3255194839986,0.328318489781582,0.26574492932883,1.23546473910448,0.216657591700993,0.662141169883369,"STAT1","IN-VIP"
"ENSG00000115415","Rank 1","STAT1",14.7630184298576,0.291235374339169,0.384499999575084,0.757439205880407,0.448786775093236,0.83341430204711,"STAT1","EN-PYR"
"ENSG00000115415","Rank 1","STAT1",6.74844613750445,0.624044090246897,0.384515465120776,1.6229362583658,0.104603031604753,0.861541772474335,"STAT1","IN-SV2C"
"ENSG00000115415","Rank 1","STAT1",4.78154330754074,-0.344708748480513,0.404396507900129,-0.852402881198082,0.393990521571923,NA,"STAT1","EN-MIX"
"ENSG00000119655","Rank 2","NPC2",7.46584833048936,0.759508060185949,0.372543761487746,2.03870830410062,0.0414791484878541,NA,"NPC2","EN-L2-3"
"ENSG00000119655","Rank 2","NPC2",2.76044283759065,0.492101246411264,0.610521657867562,0.806034053124473,0.42022321439415,0.949568535668363,"NPC2","IN-PVALB"
"ENSG00000119655","Rank 2","NPC2",8.38182045970933,0.547261620925184,0.402891135701584,1.35833621648736,0.174357023367246,NA,"NPC2","EN-L4"
"ENSG00000119655","Rank 2","NPC2",3.81174364148481,-0.028837668889744,0.655139397115539,-0.0440176075759007,0.964890368654045,NA,"NPC2","EN-PYR"
"ENSG00000119655","Rank 2","NPC2",8.12151190715179,0.986600721234281,0.388156060161628,2.54176302393285,0.0110294925223258,0.315798862130807,"NPC2","EN-L5-6"
