"test_ligand","auroc","aupr","aupr_corrected","pearson","p_value","fdr"
"Adipoq",0.765338527354767,0.0173236405190193,0.0130648694786624,0.0620247080714511,0.01,0.0105405405405405
"Adm",0.715501783424348,0.00825624137188209,0.00399747033152516,0.00103793740878224,0.04,0.0400622568093385
"Adm2",0.777339734264426,0.0191687147542977,0.0149099437139407,0.0764670169112985,0.01,0.0105405405405405
"Agrn",0.790122199592701,0.0214164911734264,0.0171577201330694,0.0704804597149985,0.01,0.0105405405405405
"Agrp",0.760983954568498,0.0121076555611376,0.00784888452078067,0.0608605372199841,0.01,0.0105405405405405
"Agt",0.779231996034438,0.0195719663285003,0.0153131952881434,0.0506211498925611,0.01,0.0105405405405405
"Ahsg",0.753341630836464,0.0201633773724129,0.015904606332056,0.0959862445861286,0.01,0.0105405405405405
"Aimp1",0.736147480037465,0.0171004537763738,0.0128416827360169,0.0678128857836263,0.01,0.0105405405405405
"Alb",0.784080108621792,0.0390148512399196,0.0347560801995626,0.126220263376625,0.01,0.0105405405405405
"Alcam",0.759073373635508,0.0219456675409386,0.0176868965005817,0.0859278072167102,0.01,0.0105405405405405
"Alkal1",0.790175001885799,0.0148697411808926,0.0106109701405357,0.0651164552834506,0.01,0.0105405405405405
"Alkal2",0.786179269173152,0.0142764847990734,0.0100177137587165,0.0595031708275417,0.01,0.0105405405405405
"Alox5ap",0.758789965409081,0.0168704742951579,0.012611703254801,0.0685852359753546,0.01,0.0105405405405405
"Ambn",0.738287589305953,0.0155320759962322,0.0112733049558753,0.0635137910893964,0.01,0.0105405405405405
"Amelx",0.736734770848794,0.018207822759414,0.0139490517190571,0.0686461728455667,0.01,0.0105405405405405
"Amh",0.76969417773907,0.0215323160202757,0.0172735449799188,0.0787486945618107,0.01,0.0105405405405405
"Ang",0.764665028717941,0.0166189404506673,0.0123601694103104,0.0606149318002329,0.01,0.0105405405405405
"Ang2",0.763826657614822,0.0167313108929513,0.0124725398525944,0.0608080109903079,0.01,0.0105405405405405
"Ang4",0.763679026713599,0.0165794447425118,0.0123206737021549,0.0608030556012372,0.01,0.0105405405405405
"Ang5",0.763306177868242,0.0165017199105778,0.0122429488702209,0.0607922964002576,0.01,0.0105405405405405
"Ang6",0.763306177868242,0.0165017199105778,0.0122429488702209,0.0607922964002576,0.01,0.0105405405405405
"Angpt1",0.791586655028541,0.0139959796199551,0.00973720857959816,0.0276456154810699,0.01,0.0105405405405405
"Angpt2",0.786637248246233,0.0181621618780986,0.0139033908377417,0.0598033098757088,0.01,0.0105405405405405
"Angpt4",0.760478561191375,0.0148282806163306,0.0105695095759737,0.0664704419081768,0.01,0.0105405405405405
"Angptl1",0.77700783413618,0.0192876371354309,0.0150288660950739,0.0762780937476023,0.01,0.0105405405405405
"Angptl2",0.729291802713428,0.0117353273091833,0.00747655626882635,0.0176250335719671,0.01,0.0105405405405405
"Angptl3",0.772542268774457,0.0380652524530879,0.033806481412731,0.0866938978739843,0.01,0.0105405405405405
"Angptl4",0.748836194355528,0.0137002735591121,0.00944150251875515,0.028837050316771,0.01,0.0105405405405405
"Angptl6",0.760358947833446,0.0148894260005018,0.0106306549601448,0.0669187107004816,0.01,0.0105405405405405
"Angptl7",0.765156413323472,0.0185872111547519,0.0143284401143949,0.0740308059995958,0.01,0.0105405405405405
"Anpep",0.768948480048275,0.0173298699956959,0.013071098955339,0.065763166897437,0.01,0.0105405405405405
"Antxr1",0.741057015700594,0.0143574965136576,0.0100987254733007,0.0611391229472655,0.01,0.0105405405405405
"Anxa1",0.775989504197284,0.028324612233751,0.0240658411933941,0.112877411901678,0.01,0.0105405405405405
"Anxa2",0.758244700912745,0.0157261135731896,0.0114673425328326,0.0566798431196242,0.01,0.0105405405405405
"Apln",0.767385963210807,0.01299937605332,0.00874060501296305,0.0129829806772078,0.01,0.0105405405405405
