"test_ligand","auroc","aupr","aupr_corrected","pearson","p_value","fdr"
"Cd209e",0.678198344865011,0.510935902861848,0.160935902861848,0.199492579522225,0.01,0.0114603739982191
"Cd22",0.697056030389364,0.505419360519314,0.155419360519314,0.28236267441541,0.01,0.0114603739982191
"Cd226",0.612942612942613,0.443198041567412,0.0931980415674116,0.162732236431083,0.04,0.0423007395234182
"Cd244a",0.689730023063357,0.503511614005577,0.153511614005577,0.178047301744353,0.01,0.0114603739982191
"Cd24a",0.68905168905169,0.514886434954794,0.164886434954794,0.182994057823816,0.01,0.0114603739982191
"Cd274",0.665581332247999,0.457095592767599,0.107095592767599,0.0780585040288069,0.04,0.0423007395234182
"Cd28",0.698277031610365,0.501828289159387,0.151828289159387,0.137873577354334,0.01,0.0114603739982191
"Cd300a",0.681183014516348,0.493575466699008,0.143575466699008,0.262693947748314,0.01,0.0114603739982191
"Cd300c",0.643196309862976,0.487205424961607,0.137205424961607,0.167469632686404,0.01,0.0114603739982191
"Cd300c2",0.644417311083978,0.489139140998977,0.139139140998977,0.167846753484581,0.01,0.0114603739982191
"Cd300ld2",0.698005698005698,0.502396597160953,0.152396597160953,0.254746608297719,0.01,0.0114603739982191
"Cd300ld3",0.696377696377697,0.500450871047709,0.150450871047709,0.254638234943943,0.01,0.0114603739982191
"Cd300ld4",0.696377696377697,0.500450871047709,0.150450871047709,0.254638234943943,0.01,0.0114603739982191
"Cd300ld5",0.696377696377697,0.500450871047709,0.150450871047709,0.254638234943943,0.01,0.0114603739982191
"Cd300lf",0.697734364401031,0.501272682943297,0.151272682943297,0.249620326034021,0.01,0.0114603739982191
"Cd320",0.66951566951567,0.496166911002379,0.146166911002379,0.268505789433144,0.01,0.0114603739982191
"Cd33",0.689730023063357,0.508631654922962,0.158631654922962,0.0779397845740134,0.01,0.0114603739982191
"Cd34",0.689594356261023,0.508347964001166,0.158347964001166,0.279061228859287,0.01,0.0114603739982191
"Cd38",0.683625016958351,0.51515881820079,0.16515881820079,0.211114874623139,0.01,0.0114603739982191
"Cd40",0.68321801655135,0.494262780132463,0.144262780132463,0.177907730389626,0.01,0.0114603739982191
"Cd40lg",0.689187355854023,0.513450858013032,0.163450858013032,0.160538699809157,0.01,0.0114603739982191
"Cd44",0.686609686609687,0.502129020975891,0.152129020975891,0.183994604141835,0.01,0.0114603739982191
"Cd47",0.704110704110704,0.53905496542299,0.18905496542299,0.193442629343445,0.01,0.0114603739982191
"Cd48",0.700719034052367,0.522187194184218,0.172187194184218,0.179110934112864,0.01,0.0114603739982191
"Cd52",0.672229005562339,0.498766458893915,0.148766458893915,0.274225946894178,0.01,0.0114603739982191
"Cd55",0.682946682946683,0.488658465116937,0.138658465116937,0.202011981977362,0.01,0.0114603739982191
"Cd55b",0.681725681725682,0.487963484280974,0.137963484280974,0.201490313184607,0.01,0.0114603739982191
"Cd59a",0.701940035273368,0.524562433685902,0.174562433685902,0.260108068006799,0.01,0.0114603739982191
"Cd59b",0.702075702075702,0.524633699895982,0.174633699895982,0.260181617767916,0.01,0.0114603739982191
"Cd5l",0.650793650793651,0.452320797405695,0.102320797405695,0.168656378935892,0.01,0.0114603739982191
"Cd6",0.648351648351648,0.443995471732063,0.0939954717320626,0.209521727552181,0.03,0.032175
"Cd7",0.695428028761362,0.510664549034355,0.160664549034355,0.246676482413269,0.01,0.0114603739982191
"Cd70",0.693257359924027,0.521211705093869,0.171211705093869,0.281609289014199,0.01,0.0114603739982191
"Cd72",0.693528693528694,0.495303764139446,0.145303764139446,0.28042826101671,0.01,0.0114603739982191
"Cd79b",0.68633835300502,0.49358177135882,0.14358177135882,0.265236961940776,0.01,0.0114603739982191
"Cd80",0.696106362773029,0.505881940396325,0.155881940396325,0.203325848714364,0.01,0.0114603739982191
"Cd82",0.699362366029033,0.524138043574401,0.174138043574401,0.281729995969851,0.01,0.0114603739982191
"Cd86",0.702211368878036,0.509968452416819,0.159968452416819,0.20493633945277,0.01,0.0114603739982191
"Cd9",0.683760683760684,0.506364597791054,0.156364597791054,0.172898262458385,0.01,0.0114603739982191
"Cd96",0.678062678062679,0.484653495438166,0.134653495438167,0.265230074326969,0.01,0.0114603739982191
"Cd99",0.681590014923348,0.495725505802776,0.145725505802776,0.187131589327548,0.01,0.0114603739982191
"Cdcp1",0.666395333062,0.476340786074219,0.126340786074219,0.242741533069671,0.01,0.0114603739982191
"Cdh1",0.690815357482024,0.485948826965345,0.135948826965345,0.273929744791968,0.01,0.0114603739982191
"Cdh13",0.665716999050332,0.506777912348056,0.156777912348056,0.25985441053897,0.01,0.0114603739982191
"Cdh15",0.638040971374305,0.477225744857087,0.127225744857087,0.236144218086005,0.01,0.0114603739982191
"Cdh2",0.665038665038665,0.48169972850093,0.13169972850093,0.252391342243375,0.01,0.0114603739982191
"Cdh3",0.652150318816986,0.484043299084626,0.134043299084626,0.248792757028042,0.01,0.0114603739982191
"Cdh4",0.672500339167006,0.527786243239343,0.177786243239343,0.286430823118945,0.01,0.0114603739982191
"Cdh5",0.631664631664631,0.463082300423078,0.113082300423078,0.171854676236529,0.02,0.0220754716981132
"Cdh6",0.638990638990639,0.435420268129176,0.0854202681291755,0.181576811875353,0.08,0.082368
"Cdh9",0.619183285849952,0.441354492186172,0.0913544921861717,0.199344885019826,0.05,0.0523170731707317
"Cdhr2",0.643060643060643,0.468110605502641,0.118110605502641,0.227668053159759,0.01,0.0114603739982191
