"functional_group","TF","specificity","n_expr","cliff_clean"
"GO_metabolism","Cebpd",1.37179487179487,14,0.145029239766082
"GO_metabolism","E2f6",0.942307692307692,49,-0.0784511784511785
"GO_metabolism","Ehf",0.99397001303781,57,-0.166437886067262
"GO_metabolism","Elf4",0.987692307692308,60,-0.146853146853147
"GO_metabolism","Ets1",0.984752747252747,67,-0.130255255255255
"GO_metabolism","Ets2",0.984113712374582,66,-0.106004447739066
"GO_metabolism","Fli1",1.00598290598291,66,-0.106004447739066
"GO_metabolism","Gata1",1.00246548323471,57,-0.0778997940974605
"GO_metabolism","Irf1",1.02884615384615,59,-0.148263888888889
"GO_metabolism","Irf2",1.02884615384615,45,-0.158983050847458
"GO_metabolism","Irf5",1.02884615384615,45,-0.158983050847458
"GO_metabolism","Irf7",1.02884615384615,45,-0.158983050847458
"GO_metabolism","Irf8",1.01778329197684,46,-0.164976335361731
"GO_metabolism","Irf9",1.00647993311037,45,-0.142033898305085
"GO_metabolism","Jun",0.864230769230769,21,-0.0180722891566265
"GO_metabolism","Ltf",1.02884615384615,45,-0.14271186440678
"GO_metabolism","Mtor",0.914529914529915,8,-0.0641025641025641
"GO_metabolism","Mxd4",1.31692307692308,16,-0.154761904761905
"GO_metabolism","Myf6",1.31692307692308,16,-0.154761904761905
"GO_metabolism","Nfatc1",0.968325791855204,8,0.0240384615384615
"GO_metabolism","Nfatc3",1.04274948024948,75,-0.218534482758621
"GO_metabolism","Nfia",0.968325791855204,8,0.0240384615384615
"GO_metabolism","Nfib",0.968325791855204,8,0.0240384615384615
"GO_metabolism","Nfix",0.968325791855204,8,0.0240384615384615
"GO_metabolism","Nlk",0.935314685314685,5,-0.0151515151515152
"GO_metabolism","Nr1h2",0.864230769230769,21,-0.0180722891566265
"GO_metabolism","Nr1h3",0.864230769230769,21,-0.0180722891566265
"GO_metabolism","Nr3c1",0.923323471400395,35,-0.11195652173913
"GO_metabolism","Pura",1.03594164456233,73,-0.121174524400331
"GO_metabolism","Rela",1.11458333333333,65,-0.047985347985348
"GO_metabolism","Runx1",1.02884615384615,20,-0.0142857142857143
"GO_metabolism","Runx2",0.996356275303644,46,-0.0094658553076403
"GO_metabolism","Runx3",0.993368700265252,42,0.0535346602608099
"GO_metabolism","Smad3",0.985977564102564,23,-0.0639329805996473
"GO_metabolism","Sox10",1.02884615384615,4,0.02
"GO_metabolism","Stat1",1.04517704517705,64,-0.0579710144927536
"GO_metabolism","Stat2",1.01845376845377,49,-0.0521885521885522
"GO_metabolism","Stat3",1.05393996247655,21,0.0940685820203893
"GO_metabolism","Stat6",1.11703296703297,57,-0.0682910089224434
"GO_metabolism","Tbp",1.01013986013986,54,-0.0535593220338983
"GO_metabolism","Tfeb",1.31692307692308,16,-0.154761904761905
"GO_metabolism","Thra",0.88763197586727,22,-0.00451671183378501
"GO_metabolism","Usf1",0.968325791855204,8,0.0240384615384615
"GO_metabolism","Yy1",1.05824175824176,72,-0.20211038961039
"LLM_cell_death","Ap3b1",1.25373737373737,29,-0.0183823529411765
"LLM_cell_death","Bcl3",1.14642857142857,27,-0.142361111111111
"LLM_cell_death","Bptf",0.934852801519468,23,-0.0487012987012987
"LLM_cell_death","Cebpa",1.58518518518519,7,0.166666666666667
"LLM_cell_death","Cebpb",1.58518518518519,7,0.166666666666667
"LLM_cell_death","Cebpd",1.58518518518519,7,0.166666666666667
"LLM_cell_death","E2f6",0.8,18,-0.183574879227053
"LLM_cell_death","Ehf",0.886629001883239,22,-0.312399355877617
