"gene_list","label","n_tfs","n_targets","pct_outdeg","NES","targets"
"GO_metabolism","SMAD factors",1,23,22.1153846153846,-0.378512673356475,"Cadm1; Hspbp1; Vav1; Nub1; Junb; E2f8; Plaur; Psmb10; Elf4; Tmem119; Prkcd; Atf3; Mov10; Cndp2; Plau; Ptpn6; Ptger4; Fgr; C3; Il1b; Wdfy4; Stat1; Psap"
"GO_metabolism","STAT factors",4,71,68.2692307692308,0.751142730989469,"Nfkbia; Nfkbiz; Rac2; Fgr; Laptm5; Dusp2; Junb; Ccl2; Epha2; Elf4; Cadm1; Atf3; Cd74; Tlr7; Lgmn; Nub1; Plcb2; Prkcd; Plau; B2m; Cmklr1; Runx1; Tnf; Tspo; Prex1; Hp; Cebpa; Csf1r; Il1b; Cybb; E2f8; S100a8; Rest; Lrp5; C3; Top2a; Ncf2; Serpine2; Plaur; Nmnat2; Trem2; Tmem119; Ctsz; Osm; Nmi; Psmb8; Stat1; Psmb10; Tmbim6; Siglec1; Tlr2; Ctsh; Ptger4; Aif1; H2-M3; Srgn; Il10ra; Ncf1; Grn; Wdfy4; Ucp2; Capn3; Vav1; Il10rb; Calr; Ltf; Cd14; Fcer1g; Erp29; Ctsc; P2ry6"
"GO_metabolism","Steroid hormone receptors (NR3)",1,4,3.84615384615385,NA,"Pik3cg; Junb; Runx1; Prkcd"
"GO_metabolism","TBP-related factors",1,43,41.3461538461538,-0.0489260824718691,"Ccl2; Plbd1; Serpine2; Junb; Pik3cg; Il1b; Cd74; Lyl1; Elf4; Aif1; Siglec1; Wdfy4; Vav1; B2m; Rest; Ctsc; Ncf1; P2ry6; Laptm5; Ptpn6; Grn; Ptger4; Ucp2; Srgn; Nfkbiz; Prkcd; Runx1; Plau; Cybb; Rac2; Cebpa; Tlr7; Tyrobp; Ncf2; Tmbim6; Atf3; Cmklr1; Fgr; Nmnat2; Erp29; E2f8; Ctsz; Cd84"
"LLM_cell_death","C4-GATA-related",1,26,54.1666666666667,0.258228821410234,"Bcl2a1b; Pik3cg; C1qc; Junb; Cybb; Ncf2; C1qb; Il1b; Prkcd; Grn; Calr; Rps6ka1; Ncf1; Rac2; Atf3; Tnf; Lcn2; Tmbim6; Ctsd; Ucp2; S100a8; C1qa; Tlr2; Nfkbia; Socs3; Tspo"
"LLM_cell_death","CEBP-related",2,17,35.4166666666667,0.767682452537209,"Lcn2; Nfkbia; S100a8; Tspo; Il1b; Tlr7; Atf3; Xdh; Junb; Tmbim6; Prkcd; C3; Nmnat2; Tnf; Lgals9; Grn; C1qa"
"LLM_cell_death","Ets-related",5,27,56.25,0.863195400222831,"Bcl2a1b; Pik3cg; C1qc; Junb; Cybb; Ncf2; C1qb; Il1b; Prkcd; Grn; Calr; Rps6ka1; Ncf1; Rac2; Atf3; Tnf; Ucp2; Ctsd; Kcnk6; Tmbim6; Lcn2; Trem2; Socs3; S100a8; C1qa; Tlr2; Nfkbia"
"LLM_cell_death","Interferon-regulatory factors",6,22,45.8333333333333,0.926951057583126,"Tlr7; Atf3; Cybb; Rac2; Il1b; Nfkbia; Kcnk6; Junb; Stat1; Prkcd; C3; Oas1a; Tlr2; C1qb; Ncf1; Grn; Lgmn; Ucp2; Tmbim6; Socs3; Pgd; Bcl2a1b"
"LLM_cell_death","Jun-related",1,3,6.25,NA,"Atf3; Bcl2a1b; Cybb"
"LLM_cell_death","More than 3 adjacent zinc fingers",1,27,56.25,0.705796797748121,"Nfkbia; Bcl2a1b; Rac2; Kcnk6; Prkcd; Atf3; Il1b; Stat1; Tlr7; Tlr2; Socs3; Junb; Tnf; Lgmn; Tmbim6; Calr; Nmnat2; Ncf1; C1qc; Pik3cg; C1qb; Grn; Ucp2; Cybb; Tyrobp; Ncf2; Pdia6"
"LLM_cell_death","NF-kappaB-related factors",1,31,64.5833333333333,0.572748932041474,"Nfkbia; Il1b; Bcl2a1b; Junb; Rac2; Stat1; Prkcd; Kcnk6; Tlr2; Socs3; Calr; Atf3; Ncf2; Lcn2; Tnf; Tlr7; Nmnat2; Ncf1; C3; Lgmn; Tspo; Cybb; S100a8; C1qb; Trem2; C1qc; Tyrobp; Pik3cg; Tmbim6; C1qa; Pdia6"
"LLM_cell_death","NFAT-related factors",1,29,60.4166666666667,0.953144150351459,"Nfkbia; Il1b; Bcl2a1b; Junb; Rac2; Stat1; Prkcd; Kcnk6; Tlr2; Socs3; Calr; Atf3; Ncf2; Lcn2; Tnf; Tlr7; Nmnat2; Ncf1; C3; C1qc; Pik3cg; Grn; C1qb; Lgals9; Ucp2; Cybb; S100a8; Tmbim6; Tyrobp"
"LLM_cell_death","Runt-related factors",3,16,33.3333333333333,0.773929330186359,"Pik3cg; Junb; Prkcd; Il1b; Bcl2a1b; Rps6ka1; Ncf1; C1qb; Rac2; Cybb; C1qc; Grn; Atf3; Ncf2; Tnf; Ctsd"
"LLM_cell_death","SMAD factors",1,15,31.25,0.861698233450634,"C3; Tspo; Prkcd; Tnf; Il1b; Junb; Lcn2; Ncf2; Atf3; C1qb; Socs3; Ncf1; Ucp2; Pgd; Kcnk6"
"LLM_cell_death","STAT factors",4,33,68.75,0.848046191654946,"Nfkbia; Rac2; Il1b; Junb; Kcnk6; Bcl2a1b; Tnf; Prkcd; Socs3; Stat1; Tlr7; Atf3; Lgmn; Tspo; Cybb; S100a8; C3; C1qb; Ncf2; Nmnat2; Trem2; Tlr2; Oas1a; Ncf1; Grn; Ucp2; Tmbim6; Calr; C1qa; Pgd; Ctsd; Pik3cg; C1qc"
"LLM_cell_death","Steroid hormone receptors (NR3)",1,24,50,0.825154098026267,"Pik3cg; Junb; Prkcd; Il1b; Bcl2a1b; Rps6ka1; Ncf1; C1qb; Rac2; Cybb; C1qc; Grn; Atf3; Ncf2; Socs3; Tmbim6; Pgd; Ctsd; Ucp2; S100a8; C1qa; Tlr2; Nfkbia; Tspo"
"LLM_cell_death","TBP-related factors",1,25,52.0833333333333,0.766742925611777,"C1qc; Junb; Pik3cg; Il1b; C1qb; Ncf1; Bcl2a1b; Grn; Ucp2; Prkcd; Cybb; Rac2; Tlr7; Tyrobp; Ncf2; Tmbim6; Atf3; Nmnat2; Calr; S100a8; Socs3; Tspo; Tnf; Nfkbia; Kcnk6"
"LLM_metabolism","bHLH-ZIP",2,20,29.4117647058824,0.826186500944311,"Grn; Serpine2; Calr; Erp29; Spint1; Cndp2; Ctsd; Fgfr4; Cebpa; Lrp5; Ctsz; Pik3cg; Capn3; Hspbp1; Naglu; Laptm5; Cmklr1; Trem2; Plau; Slco2b1"
"LLM_metabolism","C4-GATA-related",1,21,30.8823529411765,0.94267034338585,"Plau; Pik3cg; Cybb; Laptm5; Ncf2; Apobr; Psap; Npc2; Grn; Calr; Plbd1; Abcc3; Slco2b1; Ctsz; Capn3; Lyz2; Retnlg; Plcb2; Cebpa; Naglu; Spint1"
"LLM_metabolism","CEBP-related",3,17,25,1.07188392728394,"Plau; Spint1; Cebpa; Cybb; Lcn2; Cmklr1; Plcb2; Hp; Tspo; Ltf; Ctsz; Xdh; Nmnat2; Slco2b1; Capn3; Grn; Naglu"
"LLM_metabolism","E2F",1,16,23.5294117647059,1.01072757918073,"Cybb; Grn; Ctsc; Erp29; Psmb8; Plau; Serpine2; Ucp2; Rac2; Slco2b1; Slc15a3; Laptm5; Calr; Nmnat2; Cmklr1; Pik3cg"
"LLM_metabolism","Ets-related",5,29,42.6470588235294,0.145790420123926,"Plau; Pik3cg; Cybb; Laptm5; Ncf2; Apobr; Psap; Npc2; Grn; Calr; Plbd1; Abcc3; Slco2b1; Ctsz; Capn3; Lyz2; Retnlg; Plcb2; Hspbp1; Ddost; Cndp2; Nmnat2; Rac2; Cmklr1; Pdia6; Spint1; Lrp5; Tspo; Ifi30"
"LLM_metabolism","Interferon-regulatory factors",6,28,41.1764705882353,0.889248183380788,"Psme1; Psmb9; Cybb; Slc15a3; Psmb8; Psmb10; Lrp5; Ctsc; Ucp2; Lgmn; Psap; Rac2; Ctsz; Spint1; Capn3; Cebpa; Npc2; Pik3cg; Nmnat2; Fgfr4; Cndp2; Cmklr1; Slco2b1; Serpine2; Plbd1; Oas1a; Ncf1; Grn"
"LLM_metabolism","Jun-related",1,18,26.4705882352941,0.879878725841374,"Plau; Abcc3; Fgfr4; Spint1; Slco2b1; Cybb; Psmb9; Slc15a3; Psmb10; Ctsc; Ddost; Ltf; Psap; Tspo; Cmklr1; Ctsd; Ctsz; Cebpa"
"LLM_metabolism","More than 3 adjacent zinc fingers",1,34,50,1.1100224050658,"Laptm5; Spint1; Rac2; Plbd1; Serpine2; Pik3cg; Lyz2; Ctsc; Ncf1; Grn; Ucp2; Plau; Cybb; Abcc3; Retnlg; Cebpa; Ncf2; Cmklr1; Nmnat2; Erp29; Ctsz; Capn3; Slco2b1; Cndp2; Pgd; Lcn2; Hp; Tspo; Lrp5; Ctsh; Plcb2; Lgmn; Calr; Ltf"
"LLM_metabolism","MyoD/ASC-related factors",1,15,22.0588235294118,0.811272077013853,"Grn; Serpine2; Erp29; Calr; Spint1; Capn3; Pik3cg; Ctsd; Cebpa; Hspbp1; Naglu; Ctsz; Trem2; Plau; Slco2b1"
"LLM_metabolism","NF-kappaB-related factors",1,22,32.3529411764706,0.867327698372784,"Rac2; Laptm5; Plau; Cebpa; Plcb2; Lrp5; Cybb; Slco2b1; Cmklr1; Abcc3; Ctsh; Spint1; Psap; Calr; Ncf2; Hp; Lcn2; Nmnat2; Ncf1; Ctsz; Lgmn; Ltf"
"LLM_metabolism","NFAT-related factors",1,32,47.0588235294118,1.14871302831142,"Laptm5; Spint1; Rac2; Plbd1; Serpine2; Pik3cg; Lyz2; Ctsc; Ncf1; Grn; Ucp2; Plau; Cybb; Abcc3; Retnlg; Cebpa; Ncf2; Cmklr1; Nmnat2; Erp29; Ctsz; Capn3; Slco2b1; Cndp2; Pgd; Ctsh; Plcb2; Psap; Calr; Lrp5; Hp; Lcn2"
"LLM_metabolism","Runt-related factors",1,2,2.94117647058824,NA,"Apobr; Nmnat2"
"LLM_metabolism","SMAD factors",1,4,5.88235294117647,NA,"Ctsz; Trem2; Plau; Slco2b1"
"LLM_metabolism","SOX-related factors",1,18,26.4705882352941,0.961229159630426,"Plau; Spint1; Cebpa; Cybb; Lcn2; Cmklr1; Plcb2; Hp; Tspo; Ltf; Ctsz; Xdh; Nmnat2; Slco2b1; Cndp2; Capn3; Laptm5; Calr"
"LLM_metabolism","STAT factors",4,35,51.4705882352941,1.06592040023147,"Psme1; Psmb9; Cybb; Slc15a3; Psmb8; Psmb10; Plau; Abcc3; Fgfr4; Spint1; Slco2b1; Lrp5; Ctsc; Ucp2; Lgmn; Psap; Rac2; Ctsz; Capn3; Cebpa; Npc2; Pik3cg; Nmnat2; Cndp2; Laptm5; Plcb2; Cmklr1; Ltf; Ctsh; Serpine2; Oas1a; Ncf1; Grn; Hp; Calr"
"LLM_metabolism","Steroid hormone receptors (NR3)",1,18,26.4705882352941,0.947284027689212,"Plau; Spint1; Cebpa; Cybb; Lcn2; Cmklr1; Plcb2; Hp; Tspo; Ltf; Ctsz; Xdh; Nmnat2; Slco2b1; Naglu; Abcc3; Trem2; Capn3"
"LLM_metabolism","TBP-related factors",1,31,45.5882352941176,1.24905933885405,"Plbd1; Serpine2; Pik3cg; Lyz2; Ctsc; Ncf1; Laptm5; Grn; Ucp2; Plau; Cybb; Rac2; Abcc3; Retnlg; Cebpa; Ncf2; Cmklr1; Nmnat2; Erp29; Ctsz; Capn3; Slco2b1; Cndp2; Pgd; Lcn2; Plcb2; Hp; Tspo; Ltf; Xdh; Spint1"
"LLM_metabolism","Thyroid hormone receptor-related factors (NR1)",1,3,4.41176470588235,NA,"Cebpa; Naglu; Ctsz"
