"ensembl_id","baseMean_MN","log2FoldChange_MN","lfcSE_MN","stat_MN","pvalue_MN","padj_MN","baseMean_RGC","log2FoldChange_RGC","lfcSE_RGC","stat_RGC","pvalue_RGC","padj_RGC","symbol","is_sig_RGC","is_sig_MN","Specificity","EAE_Combined_Score"
"ENSMUSG00000026628",83.6326864267069,4.48142675689519,1.34728812440404,3.32625714998973,0.00088020683335523,0.0108840528909534,26.5664594181799,1.52930558766052,0.779776978557399,1.96120894783244,0.0498546535053997,0.724996727190948,"Atf3",TRUE,TRUE,"Both",3.00536617227785
"ENSMUSG00000026946",12.7907395646641,2.94721927930081,1.20039669595448,2.45520442469842,0.0140804492046341,0.0824655363075433,7.12968638419814,1.93987422841803,0.690355169972973,2.80996552614211,0.00495468067993529,0.390803401955661,"Nmi",TRUE,TRUE,"Both",2.44354675385942
"ENSMUSG00000027322",14.3193820325082,9.00241998014211,2.20556433078225,4.08168551445027,4.4710268922801e-05,0.00101673945922257,4.2845961289696,2.46057386546786,1.1294513672759,2.1785567194473,0.0293646143517759,0.680295131737202,"Siglec1",TRUE,TRUE,"Both",5.73149692280499
"ENSMUSG00000027368",26.0193347412157,4.48514568828444,1.58583486211158,2.82825519569696,0.00468024812284822,0.0384186865087045,2.54664080787457,2.51259519167549,1.14642152512476,2.19168528905811,0.02840223869016,0.680195445681789,"Dusp2",TRUE,TRUE,"Both",3.49887043997997
"ENSMUSG00000027398",24.057294502576,7.98470063668762,1.61538878532871,4.94289715838458,7.69700914180941e-07,3.06910331643545e-05,15.213788354226,2.79320232212688,0.97128158547407,2.87579046478427,0.00403017148823901,0.367057331401216,"Il1b",TRUE,TRUE,"Both",5.38895147940725
"ENSMUSG00000027995",34.0768697472671,5.33525469589506,1.13370904763392,4.70601756864326,2.52602758713875e-06,8.81626031252215e-05,19.7557029418307,1.80638423496653,0.607136301508262,2.97525321822969,0.00292746788844248,0.317495448295884,"Tlr2",TRUE,TRUE,"Both",3.57081946543079
"ENSMUSG00000028581",340.161323707946,5.43713834545808,1.13319648485879,4.79805436930524,1.60214294694105e-06,5.82939711244502e-05,179.742758082211,1.22837140428434,0.623439961533126,1.97031226754153,0.0488025933400661,0.724996727190948,"Laptm5",TRUE,TRUE,"Both",3.33275487487121
"ENSMUSG00000028874",24.4674479804961,3.75987658086194,1.66107532254566,2.26351961878514,0.0236036766207324,0.117365189456146,5.09087907759159,2.29241522826616,1.1050167934991,2.07455238848189,0.0380280386240498,0.696855418224102,"Fgr",TRUE,TRUE,"Both",3.02614590456405
"ENSMUSG00000028954",324.159788317641,1.07270598539801,0.283990236363465,3.7772636099542,0.00015856088130422,0.00283667476560464,532.777287381428,0.140270571915869,0.0713839751655692,1.96501485929473,0.049412517746521,0.724996727190948,"Nub1",FALSE,TRUE,"MN_Only",1.07270598539801
"ENSMUSG00000029249",40.9815256888221,2.07524232732604,1.0287093322132,2.01732623817196,0.0436614792180184,0.173462951572955,136.18238518935,0.473167675677479,0.225216155546149,2.10094908391473,0.0356454360352075,0.695025890100296,"Rest",FALSE,TRUE,"MN_Only",2.07524232732604
