"source","term_name","term_id","highlighted","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"KEGG","Neutrophil extracellular trap formation","KEGG:04613","false","0.00005959543655843684","4.224786994510892","204","142","14","10539","ENSMUSG00000000290,ENSMUSG00000015340,ENSMUSG00000015947,ENSMUSG00000015950,ENSMUSG00000024164,ENSMUSG00000026480,ENSMUSG00000027995,ENSMUSG00000033220,ENSMUSG00000038357,ENSMUSG00000040061,ENSMUSG00000044583,ENSMUSG00000048163,ENSMUSG00000059089,ENSMUSG00000059498"
"KEGG","Cell adhesion molecule (CAM) interaction","KEGG:04514","false","0.0000624540731324152","4.20443923253008","175","142","13","10539","ENSMUSG00000000290,ENSMUSG00000016206,ENSMUSG00000027322,ENSMUSG00000032076,ENSMUSG00000033295,ENSMUSG00000036594,ENSMUSG00000048163,ENSMUSG00000056116,ENSMUSG00000060586,ENSMUSG00000061232,ENSMUSG00000067212,ENSMUSG00000073411,ENSMUSG00000073421"
"KEGG","Human T-cell leukemia virus 1 infection","KEGG:05166","false","0.00008978976048589167","4.046773186918755","243","142","15","10539","ENSMUSG00000000290,ENSMUSG00000002111,ENSMUSG00000003814,ENSMUSG00000016206,ENSMUSG00000021025,ENSMUSG00000024401,ENSMUSG00000036594,ENSMUSG00000041736,ENSMUSG00000056116,ENSMUSG00000060586,ENSMUSG00000060802,ENSMUSG00000061232,ENSMUSG00000067212,ENSMUSG00000073411,ENSMUSG00000073421"
"KEGG","NOD-like receptor signaling pathway","KEGG:04621","false","0.0000948084106015382","4.023153134014092","212","142","14","10539","ENSMUSG00000015340,ENSMUSG00000021025,ENSMUSG00000021948,ENSMUSG00000024401,ENSMUSG00000026104,ENSMUSG00000027398,ENSMUSG00000028270,ENSMUSG00000035352,ENSMUSG00000035385,ENSMUSG00000038357,ENSMUSG00000040061,ENSMUSG00000052776,ENSMUSG00000073489,ENSMUSG00000078942"
"KEGG","Legionellosis","KEGG:05134","false","0.00010939891271186442","3.9609869943241973","59","142","8","10539","ENSMUSG00000000290,ENSMUSG00000021025,ENSMUSG00000024164,ENSMUSG00000024401,ENSMUSG00000027398,ENSMUSG00000027995,ENSMUSG00000051439,ENSMUSG00000078942"
"KEGG","Inflammatory bowel disease","KEGG:05321","false","0.0001612291859416462","3.7925563387958983","62","142","8","10539","ENSMUSG00000024401,ENSMUSG00000026068,ENSMUSG00000026104,ENSMUSG00000027398,ENSMUSG00000027995,ENSMUSG00000036594,ENSMUSG00000060586,ENSMUSG00000073421"
"KEGG","Yersinia infection","KEGG:05135","false","0.00020587510430865693","3.6863961677825405","136","142","11","10539","ENSMUSG00000002699,ENSMUSG00000003644,ENSMUSG00000021025,ENSMUSG00000024401,ENSMUSG00000027398,ENSMUSG00000029622,ENSMUSG00000033220,ENSMUSG00000034116,ENSMUSG00000035352,ENSMUSG00000035385,ENSMUSG00000059498"
"KEGG","Coronavirus disease - COVID-19","KEGG:05171","false","0.0002631671950100758","3.579768248470105","300","142","16","10539","ENSMUSG00000015340,ENSMUSG00000021025,ENSMUSG00000024164,ENSMUSG00000024401,ENSMUSG00000026104,ENSMUSG00000027398,ENSMUSG00000027995,ENSMUSG00000034855,ENSMUSG00000035352,ENSMUSG00000035385,ENSMUSG00000036887,ENSMUSG00000036896,ENSMUSG00000036905,ENSMUSG00000044583,ENSMUSG00000052776,ENSMUSG00000059498"
"KEGG","Hematopoietic cell lineage","KEGG:04640","false","0.00041305357713595234","3.3839936123983843","93","142","9","10539","ENSMUSG00000004609,ENSMUSG00000015947,ENSMUSG00000024401,ENSMUSG00000024621,ENSMUSG00000027398,ENSMUSG00000036594,ENSMUSG00000051439,ENSMUSG00000060586,ENSMUSG00000073421"
"KEGG","Autoimmune thyroid disease","KEGG:05320","false","0.0005096105311664746","3.2927616058292397","72","142","8","10539","ENSMUSG00000016206,ENSMUSG00000036594,ENSMUSG00000056116,ENSMUSG00000060586,ENSMUSG00000061232,ENSMUSG00000067212,ENSMUSG00000073411,ENSMUSG00000073421"
"KEGG","IL-17 signaling pathway","KEGG:04657","false","0.000586395342058341","3.2318094881049806","97","142","9","10539","ENSMUSG00000021025,ENSMUSG00000024401,ENSMUSG00000026822,ENSMUSG00000027398,ENSMUSG00000034855,ENSMUSG00000035352,ENSMUSG00000035385,ENSMUSG00000056054,ENSMUSG00000056071"
"KEGG","Pertussis","KEGG:05133","false","0.0008466035712188496","3.0723199038783457","77","142","8","10539","ENSMUSG00000000290,ENSMUSG00000024164,ENSMUSG00000024401,ENSMUSG00000027398,ENSMUSG00000036887,ENSMUSG00000036896,ENSMUSG00000036905,ENSMUSG00000051439"
"KEGG","B cell receptor signaling pathway","KEGG:04662","false","0.0011273393710667986","2.947945325484576","80","142","8","10539","ENSMUSG00000004266,ENSMUSG00000021025,ENSMUSG00000025491,ENSMUSG00000026656,ENSMUSG00000028459,ENSMUSG00000033220,ENSMUSG00000034116,ENSMUSG00000058818"
"KEGG","Asthma","KEGG:05310","false","0.0017485054485911098","2.757333010029391","25","142","5","10539","ENSMUSG00000024401,ENSMUSG00000036594,ENSMUSG00000058715,ENSMUSG00000060586,ENSMUSG00000073421"
"KEGG","Leukocyte transendothelial migration","KEGG:04670","false","0.002698652442582329","2.5688530443016133","117","142","9","10539","ENSMUSG00000000290,ENSMUSG00000015340,ENSMUSG00000015950,ENSMUSG00000026480,ENSMUSG00000029204,ENSMUSG00000030403,ENSMUSG00000033220,ENSMUSG00000034116,ENSMUSG00000061353"
"KEGG","Cytokine-cytokine receptor interaction","KEGG:04060","false","0.0035041919803576503","2.4554121086323804","290","142","14","10539","ENSMUSG00000022969,ENSMUSG00000024401,ENSMUSG00000024621,ENSMUSG00000026068,ENSMUSG00000027398,ENSMUSG00000032089,ENSMUSG00000034855,ENSMUSG00000035352,ENSMUSG00000035385,ENSMUSG00000058755,ENSMUSG00000061353,ENSMUSG00000071713,ENSMUSG00000071714,ENSMUSG00000079227"
"KEGG","Lipid and atherosclerosis","KEGG:05417","false","0.00350540185266612","2.4552621881419467","217","142","12","10539","ENSMUSG00000015340,ENSMUSG00000015950,ENSMUSG00000021025,ENSMUSG00000024401,ENSMUSG00000026480,ENSMUSG00000027398,ENSMUSG00000027995,ENSMUSG00000034116,ENSMUSG00000035352,ENSMUSG00000035385,ENSMUSG00000040061,ENSMUSG00000051439"
