"gene","atac_log2FC","atac_padj","is_sig_open","is_sig_close","regulating_TFs","n_regulating_TFs"
"Cd74",-0.2689192394789,0.999946325325023,FALSE,FALSE,"Nfatc3, Stat1, Smad3, Thra",4
"Capn3",-0.270815146791392,0.999946325325023,FALSE,FALSE,"Nfatc3, Stat1, Smad3",3
"Rest",-0.273447611598732,0.999946325325023,FALSE,FALSE,"Nfatc3, Smad3, Myf6",3
"Vav1",-0.293063941840633,0.999946325325023,FALSE,FALSE,"Nfatc3, Stat1, Smad3",3
"Slco2b1",-0.300036129388688,0.999946325325023,FALSE,FALSE,"Nfatc3, Stat1, Smad3, Thra, Myf6",5
"Arhgef19",-0.302679112184325,0.999946325325023,FALSE,FALSE,"Nfatc3, Stat1, Smad3, Thra, Nfia",5
"Prkcd",-0.31722121647842,0.999946325325023,FALSE,FALSE,"Nfatc3, Stat1, Smad3, Thra, Nfia, Myf6",6
"Naglu",-0.32072846424748,0.999946325325023,FALSE,FALSE,"Nfatc3, Stat1",2
"Lgals9",-0.329666008499718,0.999946325325023,FALSE,FALSE,"Nfatc3, Thra",2
"Mov10",-0.332883096121364,0.999946325325023,FALSE,FALSE,"Nfatc3, Stat1",2
"Calr",-0.340015058729928,0.999946325325023,FALSE,FALSE,"Nfatc3",1
"Atf3",-0.3514561174684,0.999946325325023,FALSE,FALSE,"Nfatc3, Stat1, Smad3, Cebpb, Myf6",5
"Trem2",-0.354982935830824,0.999946325325023,FALSE,FALSE,"Nfatc3, Smad3",2
"Elf4",-0.380553752615525,0.999946325325023,FALSE,FALSE,"Nfatc3, Stat1, Smad3, Thra, Nfia, Myf6",6
"Ly6e",-0.388510289505617,0.999946325325023,FALSE,FALSE,"Nfatc3",1
"Laptm5",-0.389012458740426,0.999946325325023,FALSE,FALSE,"Nfatc3, Stat1, Smad3, Thra",4
"Npc2",-0.403641084633353,0.999946325325023,FALSE,FALSE,"Nfatc3",1
"Hck",-0.403809878601108,0.999946325325023,FALSE,FALSE,"Nfatc3, Stat1, Smad3, Thra",4
"Igtp",-0.414057861143498,0.999946325325023,FALSE,FALSE,"Nfatc3",1
"Klhl6",-0.417438575269141,0.999946325325023,FALSE,FALSE,"Nfatc3, Stat1, Smad3",3
"Siglec1",-0.433402611006324,0.999946325325023,FALSE,FALSE,"Nfatc3, Stat1, Smad3",3
"Cmklr1",-0.456400875516884,0.999946325325023,FALSE,FALSE,"Nfatc3, Stat1, Smad3, Thra, Cebpb",5
"Ccr5",-0.463000881314184,0.999946325325023,FALSE,FALSE,"Nfatc3, Smad3",2
"Abcc3",-0.481768338022419,0.999946325325023,FALSE,FALSE,"Stat1, Thra",2
"Ctsd",-0.498537269199892,0.999946325325023,FALSE,FALSE,"Nfatc3, Smad3",2
"Grn",-0.510278124829376,0.999946325325023,FALSE,FALSE,"Nfatc3, Stat1, Nfia",3
"Plau",-0.516940088964267,0.999946325325023,FALSE,FALSE,"Nfatc3, Stat1, Thra, Cebpb",4
"Rhoh",-0.520073385964896,0.999946325325023,FALSE,FALSE,"Nfatc3, Stat1, Smad3",3
"Fcgr4",-0.531773996620111,0.999946325325023,FALSE,FALSE,"Nfatc3, Stat1, Smad3",3
"Mpeg1",-0.536881026611909,0.999946325325023,FALSE,FALSE,"Nfatc3, Stat1, Smad3",3
"Fgr",-0.56548631963658,0.999946325325023,FALSE,FALSE,"Nfatc3, Stat1, Smad3, Thra, Nfia, Myf6",6
"Tlr2",-0.574409168915638,0.999946325325023,FALSE,FALSE,"Nfatc3, Stat1, Nfia",3
"Epha2",-0.600919413979633,0.999946325325023,FALSE,FALSE,"Nfatc3, Stat1, Smad3, Cebpb",4
"Plcb2",-0.606446024116231,0.999946325325023,FALSE,FALSE,"Nfatc3, Stat1, Smad3, Thra",4
"Fgl2",-0.62318259867166,0.999946325325023,FALSE,FALSE,"Nfatc3, Myf6",2
"Tnfaip2",-0.725513481887954,0.999946325325023,FALSE,FALSE,"Nfatc3, Stat1, Smad3, Thra, Cebpb",5
"Rac2",-0.730329328465086,0.999946325325023,FALSE,FALSE,"Nfatc3, Stat1, Thra, Myf6",4
"Slfn5",-0.791028177575074,0.999946325325023,FALSE,FALSE,"Nfatc3, Stat1, Smad3",3
"Ms4a6c",-0.798140239845778,0.999946325325023,FALSE,FALSE,"Nfatc3, Stat1",2
"Abcf2",-0.803241280280464,0.999946325325023,FALSE,FALSE,"Stat1, Smad3",2
"Arpc1b",-0.810160056536292,0.999946325325023,FALSE,FALSE,"Nfatc3, Stat1, Smad3, Thra",4
"Bcl2a1b",-0.832716132910084,0.999946325325023,FALSE,FALSE,"Nfatc3, Stat1, Smad3, Cebpb",4
"Rps6ka1",-0.840566000252968,0.999946325325023,FALSE,FALSE,"Nfatc3, Thra",2
"Selplg",-0.8696084006669,0.999946325325023,FALSE,FALSE,"Nfatc3, Stat1, Smad3",3
"Cybb",-0.871394294912249,0.999946325325023,FALSE,FALSE,"Nfatc3, Stat1, Smad3, Cebpb",4
"Cd84",-0.895089799881838,0.999946325325023,FALSE,FALSE,"Nfatc3",1
"C1qb",-0.927528866769762,0.999946325325023,FALSE,FALSE,"Nfatc3, Stat1, Smad3, Thra",4
"Lyl1",-0.942285796032951,0.999946325325023,FALSE,FALSE,"Nfatc3",1
"B2m",-0.997379737883896,0.999946325325023,FALSE,FALSE,"Nfatc3, Stat1",2
"Ltf",-1.00721656304994,0.999946325325023,FALSE,FALSE,"Nfatc3, Stat1, Smad3",3
"Rasal3",-1.14381584479544,0.999946325325023,FALSE,FALSE,"Nfatc3, Smad3, Thra",3
"Cd177",-1.21094264533365,0.999946325325023,FALSE,FALSE,"Nfatc3",1
"Slfn4",-1.22155467703783,0.999946325325023,FALSE,FALSE,"Smad3",1
"Tbc1d13",-1.43117471080199,0.999946325325023,FALSE,FALSE,"Smad3",1
"Fcer1g",-1.65598291271055,0.999946325325023,FALSE,FALSE,"Nfatc3, Stat1, Smad3, Thra",4
