id	Regulatory function	ensembl_id	baseMean_MN	log2FoldChange_MN	lfcSE_MN	stat_MN	pvalue_MN	padj_MN	baseMean_RGC	log2FoldChange_RGC	lfcSE_RGC	stat_RGC	pvalue_RGC	padj_RGC	is_sig_RGC	is_sig_MN	Specificity	EAE_Combined_Score
Elf4	Regulator	ENSMUSG00000031103	51.0107832857104	8.56948087271954	1.21557468848445	7.04973618972257	1.79257318671175e-12	2.00685462764637e-10	13.4981235551286	1.04491203275716	0.524627260305844	1.99172271785496	0.0464014896925199	0.717967655072726	TRUE	TRUE	Both	4.80719645273835
Ets2	Regulator	ENSMUSG00000022895	231.74520379428	2.02378457716657	0.646747227355762	3.12917395168565	0.00175298498149949	0.0182626652975974	178.091384231312	0.201499274657757	0.137243800487958	1.46818489389936	0.14205400643608	0.854657042371814	FALSE	TRUE	MN_Only	2.02378457716657
Bptf	Regulator	ENSMUSG00000040481	402.880116218593	0.641019192583693	0.291151521999337	2.20166869876487	0.0276887193157119	0.130330407801058	1798.69063677331	-0.101674216882919	0.127802760571153	-0.795555717486344	0.426290313810276	0.957784337345148	FALSE	TRUE	MN_Only	0.641019192583693
Stat3	Regulator	ENSMUSG00000004040	1143.47353313933	1.39957335271656	0.315130326318922	4.44125250992233	8.94367698931572e-06	0.000261903973646883	335.947763300051	0.135809899175688	0.15069078112841	0.901248889671347	0.36745600200358	0.943829991173839	FALSE	TRUE	MN_Only	1.39957335271656
Runx2	Regulator	ENSMUSG00000039153	22.4615775991812	-0.154318592913497	1.63625132275747	-0.0943122800068598	0.924861095361943	0.971287678418131	5.79930625683938	-1.78402361234148	0.749173457400628	-2.38132250244346	0.0172506019802741	0.59556266362464	TRUE	FALSE	RGC_Only	-1.78402361234148
Nr3c1	Regulator	ENSMUSG00000024431	281.964032541416	1.4213849464057	0.584949657407572	2.42992696620271	0.0151018656069076	0.0865665821358541	245.477824199389	-0.127520842336934	0.255372764734801	-0.499351771005656	0.617531589302487	0.980364565960623	FALSE	TRUE	MN_Only	1.4213849464057
Runx3	Regulator	ENSMUSG00000070691	13.6761186042163	8.30412245641789	1.71424405792614	4.84418914449326	1.27129782954203e-06	4.72001750284557e-05	2.40661185330582	0.440537040899621	1.24933530367934	0.35261713937181	0.724375486605532	0.990829845757581	FALSE	TRUE	MN_Only	8.30412245641789
Nr1h3	Regulator	ENSMUSG00000002108	72.6710806702371	-2.62396445270197	1.1703007651651	-2.24212828941609	0.0249530821263203	0.121096084450305	5.40984708602464	-0.535061866406604	0.604193363214074	-0.885580509458566	0.37584361817403	0.94589918040108	FALSE	TRUE	MN_Only	-2.62396445270197
Nr1h2	Regulator	ENSMUSG00000060601	437.134587012442	-1.68696337077032	0.487547210266379	-3.46010260185597	0.000539969600762872	0.00741388449953099	264.857061918011	0.0631175601997249	0.116881908085518	0.540011377582439	0.589189186065024	0.979525857909105	FALSE	TRUE	MN_Only	-1.68696337077032
Thra	Regulator	ENSMUSG00000058756	1706.47736508496	0.772451319528106	0.231706675402535	3.33374650594834	0.000856847088751644	0.0106690759075456	3120.32774576898	0.131987819069946	0.126174348645284	1.04607489943147	0.295526453002393	0.922672763878501	FALSE	TRUE	MN_Only	0.772451319528106
Jun	Regulator	ENSMUSG00000052684	777.508323858799	1.31580455235758	0.449149518350564	2.92954684041449	0.00339456647256338	0.03062896493595	404.452978020627	0.355615774812946	0.387426678564346	0.917891808924262	0.358675510376261	0.940952244978993	FALSE	TRUE	MN_Only	1.31580455235758
Runx1	Regulator	ENSMUSG00000022952	66.924871270429	4.80160063937342	1.09249097251637	4.39509411076756	1.10724772889854e-05	0.000310498717656828	9.84592390980986	1.55361223328339	0.746808060850597	2.08033672201376	0.0374946588156232	0.696855418224102	TRUE	TRUE	Both	3.1776064363284
3830417A13Rik	Regulator	ENSMUSG00000031179	1.72146168400828	6.07988558238709	3.09524494439433	1.96426638008024	0.0494992083731959	NA	0	NA	NA	NA	NA	NA	FALSE	TRUE	MN_Only	6.07988558238709
Mtor	Regulator	ENSMUSG00000028991	552.504669865307	1.16443474885125	0.477855545469643	2.43679237353378	0.0148181849035837	0.0855130305657243	1049.70478100614	-0.095448764349861	0.122888068287386	-0.776713033902073	0.437328095289916	0.961870167526406	FALSE	TRUE	MN_Only	1.16443474885125
Nlk	Regulator	ENSMUSG00000017376	569.432549025867	-1.20848338073297	0.340330806380308	-3.55090799327325	0.000383904597771663	0.0057364964229659	501.771445197048	-0.330802340672771	0.140667119303445	-2.35166784043661	0.0186894558104586	0.611979327055029	FALSE	TRUE	MN_Only	-1.20848338073297
Smad3	Regulator	ENSMUSG00000032402	105.272611468373	4.53904434910266	1.21855142848777	3.72495098933629	0.000195353172405358	0.00336358423562075	124.133062052799	-0.655234628151186	0.369556172881743	-1.77303120941471	0.0762235355081288	0.766905504903329	FALSE	TRUE	MN_Only	4.53904434910266
Cebpb	Regulator	ENSMUSG00000056501	188.69756029888	2.67194065888325	0.925180590246485	2.88802066002205	0.00387674408167793	0.0334584829746793	36.0874792629347	0.389926027727298	0.260080373452598	1.49925202948221	0.133808261936332	0.840677130818429	FALSE	TRUE	MN_Only	2.67194065888325
Cebpd	Regulator	ENSMUSG00000071637	140.039132311191	4.52556697647951	1.01312477083412	4.46693942025873	7.93465868010915e-06	0.00023664143940637	17.1480507508117	0.73057856035105	0.781458321711221	0.934891266819252	0.349844338207886	0.940046580807209	FALSE	TRUE	MN_Only	4.52556697647951
Cebpa	Regulator	ENSMUSG00000034957	12.4533797848853	4.02545993316072	1.19662300173656	3.36401684349951	0.000768168549407822	0.00988787991555119	34.0181394405721	1.02067247334827	0.47908965394729	2.13044148404959	0.0331351819918851	0.690111701054953	TRUE	TRUE	Both	2.5230662032545
Nfia	Regulator	ENSMUSG00000028565	1435.77631486775	-1.42077428300927	0.404216071330958	-3.51488815952097	0.000439939222577522	0.00632070626396175	100.075781931316	-1.04570668686256	0.50586110130831	-2.06718145387746	0.038717059092644	0.696855418224102	TRUE	TRUE	Both	-1.23324048493591
