"human_symbol","rank","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","subtype"
"NMNAT2","Rank 1",70.769433355469,-0.288596777217207,0.380715433120665,-0.758038030798028,0.448428215814532,0.999792238033074,"N2"
"NMNAT2","Rank 1",34.1605435146455,-0.140855807073481,0.55783792070884,-0.252503105013902,0.80065221439515,0.999770623485098,"N5"
"NMNAT2","Rank 1",31.4046773329924,0.0680400752572662,0.470470845283403,0.144621236234692,0.885009929416224,0.998620726458724,"N7"
"NMNAT2","Rank 1",108.161681059626,-0.20878008673684,0.365458477806587,-0.571282647456691,0.567808062393478,0.999968391964706,"N0"
"NMNAT2","Rank 1",39.6255659227328,-0.385448444699337,0.475154924298132,-0.811205829906312,0.417247478232428,0.99974963685545,"N3"
"PGD","Rank 1",7.58406041725797,-0.208169884849859,0.870119298858378,-0.239242923496794,0.810917220735061,0.999968391964706,"N0"
"PGD","Rank 1",6.34297357013289,-0.543955787884018,0.884685819049748,-0.614857586920844,0.538648774679059,0.999428838839093,"N1"
"PGD","Rank 1",10.4355059022034,0.64681349027923,0.977519304234071,0.661688712926275,0.508170739842704,NA,"N6"
"PGD","Rank 1",5.6654055964769,0.428822052811459,1.04033467028019,0.412196252861557,0.680195583434156,0.999792238033074,"N2"
"PREX1","Rank 1",8.21984882363925,0.580788447128058,0.867754835814339,0.669300156170286,0.503304027204581,0.999792238033074,"N2"
"PREX1","Rank 1",28.6330067929328,-0.303360048240487,0.52675754893934,-0.575900713433194,0.564682293368792,0.99974963685545,"N3"
"PREX1","Rank 1",12.6191915806755,0.244636589281013,0.726040702157847,0.336946108605116,0.736157525931943,0.999968391964706,"N0"
"PSAP","Rank 2",142.181880876502,-0.0589502782239678,0.478448179269331,-0.123211417198817,0.901939684841348,0.999428838839093,"N1"
"PSAP","Rank 2",143.724191056781,0.374016030508293,0.47811190017089,0.782277183175338,0.434051693086497,0.999865540173623,"N4"
"PSAP","Rank 2",291.138445244062,0.825705705613284,0.654767684164197,1.2610666738498,0.207284826377125,0.615476484473618,"N6"
"PSAP","Rank 2",230.327025846525,0.174189146029162,0.410267320219965,0.424574752714329,0.671146701102155,0.999968391964706,"N0"
"PSAP","Rank 2",85.1582205586464,-0.49618789696153,0.413427355902934,-1.20018157936802,0.230068827763986,0.999770623485098,"N5"
"PSAP","Rank 2",160.280535427809,0.252216485258703,0.41410690160733,0.609061293786076,0.54248381209781,0.999792238033074,"N2"
"PSAP","Rank 2",97.9074594569821,-0.0663906563088537,0.364819919535388,-0.181981993728316,0.855596856864827,0.998620726458724,"N7"
"PSAP","Rank 2",158.160113119207,-0.330420140659116,0.38962105679346,-0.848055142035799,0.396407262044682,0.99974963685545,"N3"
"PSAP","Rank 1",142.181880876502,-0.0589502782239678,0.478448179269331,-0.123211417198817,0.901939684841348,0.999428838839093,"N1"
"PSAP","Rank 1",143.724191056781,0.374016030508293,0.47811190017089,0.782277183175338,0.434051693086497,0.999865540173623,"N4"
"PSAP","Rank 1",291.138445244062,0.825705705613284,0.654767684164197,1.2610666738498,0.207284826377125,0.615476484473618,"N6"
"PSAP","Rank 1",230.327025846525,0.174189146029162,0.410267320219965,0.424574752714329,0.671146701102155,0.999968391964706,"N0"
"PSAP","Rank 1",85.1582205586464,-0.49618789696153,0.413427355902934,-1.20018157936802,0.230068827763986,0.999770623485098,"N5"
"PSAP","Rank 1",160.280535427809,0.252216485258703,0.41410690160733,0.609061293786076,0.54248381209781,0.999792238033074,"N2"
"PSAP","Rank 1",97.9074594569821,-0.0663906563088537,0.364819919535388,-0.181981993728316,0.855596856864827,0.998620726458724,"N7"
"PSAP","Rank 1",158.160113119207,-0.330420140659116,0.38962105679346,-0.848055142035799,0.396407262044682,0.99974963685545,"N3"
"PSME1","Rank 1",6.59063867385819,-1.83498847433522,1.02631021839966,-1.78794719319519,0.0737845278922966,0.999968391964706,"N0"
"TBC1D13","Rank 2",6.6509953498954,0.557355779429636,0.904881639930576,0.615943295603165,0.537931945203771,0.999428838839093,"N1"
"TBC1D13","Rank 2",7.33807352024833,-0.559966125264537,0.953739979171993,-0.587126614688715,0.557118674047757,0.99974963685545,"N3"
"TBC1D13","Rank 2",10.0952162421829,-0.0545963468426869,0.790712359568063,-0.0690470386380591,0.944952177395852,0.999792238033074,"N2"
"TBC1D13","Rank 2",8.69458169987722,-0.349734860899431,0.760659423541382,-0.459778515950252,0.645675205548315,0.999865540173623,"N4"
"TBC1D13","Rank 2",11.441960081016,-0.159740014366498,0.735542921332613,-0.217172934078531,0.828073576795043,0.999968391964706,"N0"
"TMBIM6","Rank 1",74.8239200293288,0.022795264531595,0.423467084142391,0.0538300741314055,0.957070548557351,0.999968391964706,"N0"
"TMBIM6","Rank 1",27.5683112978055,-0.20374226369091,0.499147292603813,-0.408180644691237,0.683141057028651,0.998620726458724,"N7"
"TMBIM6","Rank 1",55.0693841769549,0.163301047029395,0.476031011352352,0.343047077049611,0.731563044226409,0.999792238033074,"N2"
"TMBIM6","Rank 1",55.8317518663126,0.217474582808538,0.443656016780052,0.490187385233533,0.624001306495537,0.999428838839093,"N1"
"TMBIM6","Rank 1",47.9114233971543,-0.0286619091982978,0.43072802319928,-0.066542940450933,0.946945571910043,0.999865540173623,"N4"
"TMBIM6","Rank 1",34.6356359866902,-0.0995336571534079,0.573202379239531,-0.173644877897156,0.862144560294636,0.999770623485098,"N5"
"TMBIM6","Rank 1",63.9844687243835,0.930879648840765,0.700553511679079,1.32877736435814,0.183921432197669,0.601641295155086,"N6"
"TMBIM6","Rank 1",69.1762451643952,0.284823444181421,0.440315857565198,0.646861654623117,0.517721484974294,0.99974963685545,"N3"
"TSPAN14","Rank 2",5.09404176382521,-0.3021617322155,1.04491586687257,-0.289173264369953,0.772448790204618,0.999428838839093,"N1"
