"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene","subtype"
57.8752617029317,-0.942538881715836,0.380756538380995,-2.47543715394509,0.0133073179834959,0.153479463422386,"FAAP20","NEU_EXC_LOWER"
6.69475125205476,-0.00329378591850021,0.405218882166875,-0.00812841173858176,0.993514537186935,0.996377367934239,"AL590822.1","NEU_EXC_LOWER"
300.696371284658,0.519555717661379,0.312526114633585,1.66243937173226,0.0964247101721082,0.306782327577509,"SKI","NEU_EXC_LOWER"
86.3072296326876,-0.434889861614063,0.23203432954071,-1.87424792906673,0.0608962608215994,0.255352853669594,"MORN1","NEU_EXC_LOWER"
19.3319355720199,-0.896326927448563,0.428663687419972,-2.09097937089878,0.0365299132529043,0.211878576196383,"AL513477.2","NEU_EXC_LOWER"
137.182511847989,-0.679824208573342,0.300427196211645,-2.26285841343878,0.0236444186782391,0.186026747155422,"RER1","NEU_EXC_LOWER"
35.9720588955006,-1.24908324551293,0.491383517191067,-2.54197221073502,0.0110228937025686,0.144930639422662,"PEX10","NEU_EXC_LOWER"
45.9853595393981,1.01418041763478,0.436264448560598,2.32469187205363,0.0200884422101457,0.175563687459422,"PLCH2","NEU_EXC_LOWER"
30.1356720037153,0.0524755036932945,0.338737659682001,0.154914879386477,0.876888423206026,0.937347309735666,"PANK4","NEU_EXC_LOWER"
6.16661354947665,-2.25445495597628,1.25043069805787,-1.80294274562983,0.0713972068970051,NA,"HES5","NEU_EXC_LOWER"
14.231721116785,-0.393717102591052,0.398048703783506,-0.989117911573932,0.322605455074169,0.541957137706371,"AL139246.5","NEU_EXC_LOWER"
15.7738530331114,-0.301715571058396,0.537419501035501,-0.561415375655424,0.5745144047052,0.745145034593895,"TNFRSF14","NEU_EXC_LOWER"
53.2799375751576,-0.605567581181833,0.411395999077509,-1.47198218392917,0.141025688699495,0.359549491327698,"PRXL2B","NEU_EXC_LOWER"
8.44250560228394,-0.380125133157973,0.329742895875234,-1.15279248745908,0.248995568666084,0.471788748681621,"TTC34","NEU_EXC_LOWER"
2.35149557202441,-0.69521496645329,1.05118066840082,-0.661365821644086,0.508377739090856,NA,"PRDM16-DT","NEU_EXC_LOWER"
8.58994036142236,0.126204227113691,0.604280205262829,0.20885050679229,0.834564941905903,0.914061481424706,"PRDM16","NEU_EXC_LOWER"
9.27170730377744,0.0923282139134211,0.442322566414855,0.208735029419291,0.834655092905957,0.914062678867272,"MEGF6","NEU_EXC_LOWER"
5.87718360261436,-1.72773529273568,0.784237163460327,-2.2030775551522,0.0275892828552273,NA,"AL513320.1","NEU_EXC_LOWER"
176.625465800644,-0.468123680091382,0.429969302174586,-1.08873744642659,0.276269683563682,0.499214790110491,"TPRG1L","NEU_EXC_LOWER"
33.805033047887,-0.53390406598975,0.25817258191477,-2.06801226540008,0.038638869753063,0.215527308861436,"WRAP73","NEU_EXC_LOWER"
81.7624318333987,-0.327820903188456,0.410545893217831,-0.798500018156359,0.42458038262021,0.631128196257326,"LRRC47","NEU_EXC_LOWER"
132.087095229598,-0.0125076669527585,0.151732595111352,-0.082432301006778,0.934302950956998,0.965919819412122,"CEP104","NEU_EXC_LOWER"
92.9846150798186,0.411697140422323,0.301532195896784,1.36535051986041,0.172142907597242,0.390983571318113,"DFFB","NEU_EXC_LOWER"
