"human_symbol","rank","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","subtype"
"PLD4","Rank 2",2.55886900626954,-1.38380119464622,0.854081522417291,-1.62022144060636,0.105184717307221,NA,"NEU_INH"
"PREX1","Rank 1",52.7039321991981,-0.120763059299023,0.310248715409824,-0.389245960743145,0.697094207244573,0.808678551140141,"NEU_INH"
"PREX1","Rank 1",8.7112196112977,0.240978119816876,0.392575191860165,0.613839398957009,0.539321459167057,0.694497256521107,"NEU_PY"
"PREX1","Rank 1",92.7963723933707,0.248839980940564,0.28468858657479,0.874077826352171,0.382075872025983,0.595069307287186,"NEU_EXC_LOWER"
"PREX1","Rank 1",211.141522469878,0.422647812535014,0.44298646172324,0.954087424908861,0.340039390884237,0.506697190779985,"NEU_EXC_UPPER"
"PRKCD","Rank 1",34.3178059751288,-0.494146336325165,0.41925467508025,-1.17863047378203,0.238545351614614,0.403273827248001,"NEU_EXC_UPPER"
"PRKCD","Rank 1",14.8578912850415,-0.990076540497451,0.630175021230039,-1.57111359089562,0.116156266254784,0.329936586017348,"NEU_EXC_LOWER"
"PRKCD","Rank 1",17.0365771725819,-0.503432298978251,0.322082520631455,-1.56305377265197,0.118039947479684,0.296348700071995,"NEU_INH"
"PSAP","Rank 1",204.393079981801,-0.847972770032741,0.361974273019959,-2.34263270413692,0.0191482230935004,0.0921974176469984,"NEU_PY"
"PSAP","Rank 1",1121.75772752933,-0.494655294006669,0.474852334886826,-1.04170340475332,0.297549209977636,0.518302107664675,"NEU_EXC_LOWER"
"PSAP","Rank 1",1132.34501435403,-0.836153623770986,0.374905879933784,-2.23030277337519,0.0257273491909747,0.108848752613,"NEU_EXC_UPPER"
"PSAP","Rank 1",854.419333227457,-0.545556467472969,0.469273836544528,-1.16255462160461,0.245010251066706,0.432196082694071,"NEU_INH"
"PSAP","Rank 2",204.393079981801,-0.847972770032741,0.361974273019959,-2.34263270413692,0.0191482230935004,0.0921974176469984,"NEU_PY"
"PSAP","Rank 2",1121.75772752933,-0.494655294006669,0.474852334886826,-1.04170340475332,0.297549209977636,0.518302107664675,"NEU_EXC_LOWER"
"PSAP","Rank 2",1132.34501435403,-0.836153623770986,0.374905879933784,-2.23030277337519,0.0257273491909747,0.108848752613,"NEU_EXC_UPPER"
"PSAP","Rank 2",854.419333227457,-0.545556467472969,0.469273836544528,-1.16255462160461,0.245010251066706,0.432196082694071,"NEU_INH"
"PSMB10","Rank 1",54.7502498069645,-1.13501881837979,0.830261997794883,-1.36706102578983,0.171606178164957,0.356399681818611,"NEU_INH"
"PSMB10","Rank 1",49.3879997425703,-1.36321262100444,0.889879085647167,-1.53190769733962,0.125545213784043,0.341103251900622,"NEU_EXC_LOWER"
"PSMB10","Rank 1",11.6861361526448,-1.54374359020164,0.606162529672044,-2.54674862703384,0.0108731725327953,0.0707766381063721,"NEU_PY"
"PSMB10","Rank 1",48.2832432059261,-2.4016928364923,0.863207920833878,-2.78228776465839,0.00539771564302434,0.0499838791301701,"NEU_EXC_UPPER"
"PSMB8","Rank 1",8.02681058293992,-1.53480814276959,1.04927709991078,-1.46272909501227,0.143541521563823,NA,"NEU_INH"
"PSMB8","Rank 1",3.56661094966525,-0.369326124298482,1.38308985369358,-0.267029740195249,0.789446262858786,NA,"NEU_EXC_LOWER"
"PSME1","Rank 1",4.63942107032933,-1.0273191706562,0.682982551099452,-1.50416605666197,0.132538615214035,NA,"NEU_PY"
"PSME1","Rank 1",29.2177601396502,-1.12554345182546,1.03352646279644,-1.08903205901477,0.276139748491812,0.499081614472015,"NEU_EXC_LOWER"
"PSME1","Rank 1",28.4018500654134,-0.903597891301122,0.92532853279223,-0.976515755517087,0.328808944055299,0.513198624473363,"NEU_INH"
"PSME1","Rank 1",24.1237029663228,-1.31583286590827,1.05146178903645,-1.25143193944698,0.210776930513552,0.372197266933719,"NEU_EXC_UPPER"
"RAC2","Rank 1",2.57417009432183,-0.209885292068665,1.7990051085669,-0.116667424160825,0.907123605696553,NA,"NEU_EXC_UPPER"
"RAC2","Rank 1",0.831982745498903,0.161482685792436,1.84058322817857,0.087734519863162,0.930087682517376,NA,"NEU_EXC_LOWER"
"RIN3","Rank 2",3.36931400010443,1.33913389111028,0.747592493522803,1.79126182072805,0.073251289788502,NA,"NEU_PY"
"RIN3","Rank 2",32.5651450126763,-0.374808488940895,0.50126630954049,-0.74772327963649,0.454627086381629,0.655534588405679,"NEU_EXC_LOWER"
"RIN3","Rank 2",115.40108982288,-0.405248799805701,0.471210325231322,-0.860016808007678,0.389779777383352,0.553690102976428,"NEU_EXC_UPPER"
"RIN3","Rank 2",35.1736228689829,-0.629990393827756,0.492538966079624,-1.27906711390203,0.200873423071349,0.387959907877825,"NEU_INH"
"STAT1","Rank 1",176.379001615424,-0.639793997560552,0.429184407278533,-1.49072050780572,0.136034889545202,0.281051197802797,"NEU_EXC_UPPER"
"STAT1","Rank 1",119.651637458014,-0.220853077340109,0.330018904474105,-0.669213412765082,0.503359351420892,0.665816969624577,"NEU_INH"
"STAT1","Rank 1",144.346512141583,-0.340225078034861,0.474379514184771,-0.717200190694457,0.473250581640707,0.669673493507261,"NEU_EXC_LOWER"
"STAT1","Rank 1",18.8890323146016,-0.706723788169512,0.444864565691949,-1.5886268376315,0.112144665432469,0.253237128445306,"NEU_PY"
"SYNGR2","Rank 2",27.2757594144296,-0.311583637249147,0.413212335943306,-0.754052118356643,0.450817927061276,0.607606933630785,"NEU_EXC_UPPER"
"SYNGR2","Rank 2",21.6738588324428,-0.185723299422977,0.623027196756681,-0.298098221698514,0.765628198786328,0.873555346690064,"NEU_EXC_LOWER"
"SYNGR2","Rank 2",2.71717679558635,-0.370946285985564,0.62490239941145,-0.593606755766871,0.552775161439795,NA,"NEU_PY"
"SYNGR2","Rank 2",18.8660206909978,-0.0615383496490873,0.710200103953882,-0.0866493109568502,0.930950268791112,0.961656867407806,"NEU_INH"
"TBC1D13","Rank 2",74.3711758920858,-0.0901301281733183,0.205456014363629,-0.438683328168726,0.660891008931103,0.806677749250104,"NEU_EXC_LOWER"
"TBC1D13","Rank 2",91.211296449837,-0.0458804747131227,0.175105102672963,-0.262016777425453,0.793308507423191,0.868965146838118,"NEU_EXC_UPPER"
"TBC1D13","Rank 2",58.1235063891631,-0.187918681416041,0.194347586293164,-0.966920582860106,0.33358373626664,0.517906494369717,"NEU_INH"
"TBC1D13","Rank 2",6.65245095179369,-0.595990969291235,0.371660784293931,-1.60358852608967,0.108804781530697,0.247802615453868,"NEU_PY"
