"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Pcdh9",503.413160067166,-0.578288668636871,0.139558933763598,-4.14368792481926,3.41764758303425e-05,0.0256058319444827
"Gpr26",57.8314656484966,-1.29135025228805,0.311923136670173,-4.13996302445984,3.47361806381331e-05,0.0256058319444827
"Epha10",275.957683559403,-0.452313432379143,0.10942292717709,-4.13362577704686,3.57084731752143e-05,0.0256058319444827
"Dcc",226.56247966189,-0.709976670456311,0.175324743604133,-4.04949498776609,5.13282771165311e-05,0.0353908470718482
"4833420G17Rik",263.233411439522,-0.354383135775545,0.0877369122372231,-4.03915668718046,5.36437225376834e-05,0.0356174449604834
"Kcng3",10.5264692521439,-3.01362036928493,0.750933155672366,-4.0131672792988,5.99094258865643e-05,0.0379974524582174
"Gsto1",85.532260310735,0.681406604378554,0.17004957784051,4.00710553376174,6.14674023142915e-05,0.0379974524582174
"Niban1",81.389612793329,0.840727417777206,0.211758911478028,3.97021032979969,7.18092121895375e-05,0.0429107915640613
"Qdpr",832.650982686735,0.55090841451609,0.139371425179978,3.95280749841419,7.7239574274687e-05,0.0446668983233004
"Mmp8",3.71988115238798,5.34503190844736,1.38396332788252,3.86211961022501,0.000112407505108288,0.0620090162766729
"Cntnap1",1222.87098911747,-0.391433348955396,0.101802362716863,-3.84503206516008,0.00012053667560817,0.0620090162766729
"Sfpq",3545.82600959412,-0.289592722365854,0.0755129616837643,-3.83500681086539,0.000125560815059157,0.0620090162766729
"Csmd1",142.933096182562,-0.97118369112197,0.253378261965087,-3.83294006198444,0.000126620813028703,0.0620090162766729
"Antxr1",305.852571978516,0.491249321172453,0.12845349077626,3.82433609397281,0.000131124943160872,0.0620090162766729
"Bcl11a",43.0110176581476,-0.8852289775275,0.231500094881152,-3.82388170502462,0.000131366961414436,0.0620090162766729
"Vps37a",392.952246690087,-0.455488607306351,0.119121139208752,-3.82374287495806,0.000131440989485891,0.0620090162766729
"Nefl",1007.70854671051,-1.46004526606008,0.38668812737961,-3.77576957418906,0.000159514403477402,0.0721957649356958
"Dot1l",835.231717250658,-0.319991667665014,0.084803706256636,-3.77332173073478,0.000161088335885973,0.0721957649356958
"Il10rb",75.910719808129,0.920071496454087,0.245125428929441,3.75347225488764,0.000174401843727587,0.0754906302938935
"A3galt2",31.2530998878963,-1.01552146194811,0.270808539915055,-3.74996099556774,0.000176862078002093,0.0754906302938935
"Epha2",61.1221637230811,1.02929750286347,0.275175920619653,3.74050716554577,0.000183649310207596,0.0765646786998039
"Mkrn1",668.354520481364,0.256021390836366,0.0687078606113006,3.72623144656985,0.00019436394686804,0.0780399233225769
"Ngp",16.3261994563461,7.72706666510816,2.07525308360164,3.72343340972066,0.000196531714426669,0.0780399233225769
"Cxcl12",62.5602788110705,1.23862937341884,0.333080919315525,3.71870407936967,0.000200247474359265,0.0780399233225769
"Dqx1",47.7528240933903,-0.901658230553853,0.244368947278997,-3.68974143643721,0.000224482094588185,0.0845251755091097
"Necab3",251.14863230569,1.04683289435135,0.283873922781518,3.68766839903446,0.000226318314522076,0.0845251755091097
"Zfp397",215.776320582025,-0.38599133490285,0.105318723177863,-3.6649830462812,0.000247354968039079,0.0904965818782973
"Ephx2",227.96648822057,0.506936737496536,0.138983111032464,3.64747006834611,0.000264835151346994,0.092861393266874
"Angpt1",28.3049294325065,1.11685963491302,0.30628741792792,3.64644307777558,0.000265895344480912,0.092861393266874
"D17H6S56E-5",30.4714121976597,1.35675836303158,0.372661803809299,3.64072289985983,0.000271873619531073,0.092861393266874
"Atxn7",404.517418883089,-0.282227588879117,0.0775731808988012,-3.63821085598256,0.000274538620134117,0.092861393266874
"Lilrb4a",5.97529119402707,3.00711752789574,0.830493269811748,3.62088127285773,0.000293601233097952,0.0974701723286477
"Hcn4",153.922519477408,-0.569149182218612,0.158995124893941,-3.57966436139641,0.000344035805399749,0.112136906970933
"Fam110a",54.4686949652738,0.682087823901784,0.191090179201248,3.56945514810282,0.000357724454132118,0.114516540879044
"Enho",134.250157734263,0.570166847204341,0.160340975719553,3.55596468491997,0.000376594666654993,0.116674903543346
"Ier5",453.422181982976,0.65553194096371,0.184409619179674,3.55476001674842,0.000378324228417689,0.116674903543346
"Nrg1",66.1095782554246,-1.23605695469931,0.348101877971154,-3.55084828011684,0.000383991705754303,0.116674903543346
"Ccl3",36.2520024667055,2.16803579268143,0.613440327950137,3.53422442884722,0.000408973653819316,0.120917102269611
"Top2a",6.63652827554718,3.02176389621357,0.855385748118577,3.53263297039955,0.000411443255338109,0.120917102269611
"Xpo6",539.031094816894,-0.285272418790019,0.080941211437252,-3.52443969795499,0.000424379396146444,0.120966324500151
"Grn",418.407691316252,0.657869867653863,0.186867010379498,3.52052438960645,0.000430694381431844,0.120966324500151
"Iqsec3",5212.14079699344,-0.278291015716833,0.079064185717182,-3.51981131776022,0.000431853894572971,0.120966324500151
