ensembl_id	baseMean_MN	log2FoldChange_MN	lfcSE_MN	stat_MN	pvalue_MN	padj_MN	baseMean_RGC	log2FoldChange_RGC	lfcSE_RGC	stat_RGC	pvalue_RGC	padj_RGC	symbol
ENSMUSG00000038963	5.27569456702813	2.15199805886693	1.36366487238002	1.57809891744958	0.114542886880186	0.324393301353226	51.5373083696195	-0.925559327239743	0.921563750009316	-1.00433564930303	0.31521685597301	0.926956864141333	Slco4a1
ENSMUSG00000038965	897.710270221467	0.663993504232326	0.353670633978791	1.87743465371271	0.0604585456746164	0.214613091158138	384.604840491433	0.106659452611588	0.126370914122896	0.844019000352102	0.39865878824692	0.951893371145876	Ube2l3
ENSMUSG00000038967	1030.06920427555	0.0239601505094815	0.315503718402323	0.0759425297134788	0.939464820716435	0.977269030141304	498.011568814619	0.182086153575293	0.133057068301086	1.36848162897489	0.171161368550833	0.874819621515066	Pdk2
ENSMUSG00000038968	0	NA	NA	NA	NA	NA	2.20531990450374	0.364323346054735	1.24425554804325	0.292804276925009	0.769671758951952	0.993679155329344	Klk1b16
ENSMUSG00000038970	930.050626954473	0.579901445460816	0.283668207778595	2.04429481189317	0.0409244314689804	0.166698621774291	614.220055127649	-0.15953208717763	0.0934037526683377	-1.70798370108429	0.0876393668052127	0.780656166817362	Lmtk2
ENSMUSG00000038973	0	NA	NA	NA	NA	NA	0.120234705272888	0.4674093734454	3.35247101097365	0.139422346059199	0.889116415208274	NA	Cldnd2
ENSMUSG00000038975	500.316625794293	-0.0869053159384735	0.571488667392876	-0.152068310181783	0.879133058295169	0.953407584881275	180.986157745873	-0.00199204824871712	0.113378207183514	-0.0175699395695399	0.985981937722726	0.99942860351801	Rabggtb
ENSMUSG00000038976	1092.52790243189	1.48987861793038	0.398852745500703	3.73541021025204	0.000187409441038581	0.00325970189368699	1945.54690236	0.0668620325147799	0.128376957310684	0.520825807959972	0.602488122941505	0.980246756262815	Ppp1r9b
ENSMUSG00000038980	0	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	Rbbp8nl
ENSMUSG00000038982	149.851282610581	-1.98146926784632	0.642257126928367	-3.0851650916243	0.00203439195585881	0.0204697694642633	92.9135754380624	0.308574878640009	0.161398228025555	1.91188517008471	0.0558909242332293	0.745057834793455	Bloc1s5
