"test_ligand","auroc","aupr","aupr_corrected","pearson"
"Lrch4",0.687054000788297,0.0142015266760645,0.01129474644217,0.0506749202912199
"Lrfn1",0.744286953094189,0.0171048189509588,0.0141980387170644,0.0619986304940982
"Lrfn3",0.736476152936524,0.0183665259831061,0.0154597457492117,0.0617206646224958
"Lrfn4",0.749832085139932,0.0191742838523239,0.0162675036184295,0.0658503100568579
"Lrfn5",0.757928261726435,0.0230180129134143,0.0201112326795199,0.0736407216034842
"Lrig1",0.75068190776512,0.0389707348243674,0.036063954590473,0.0845770939187315
"Lrig2",0.637537248718942,0.0078506214507444,0.00494384121684999,0.0369501854788734
"Lrit1",0.753439495467067,0.0166297285807657,0.0137229483468713,0.0658890263446448
"Lrit2",0.75111549073703,0.0199556460116419,0.0170488657777475,0.0751786701207974
"Lrp1b",0.754421757981892,0.0118776240770434,0.00897084384314902,0.0530287707878624
"Lrpap1",0.73335120220727,0.0183743479815885,0.0154675677476941,0.0552803005263443
"Lrrc4",0.723421363815443,0.0316007961937584,0.028694015959864,0.0694864120602806
"Lrrc4b",0.760972802522656,0.0215943652917694,0.018687585057875,0.0698057480136099
"Lrrc4c",0.695646826960962,0.0154201647549497,0.0125133845210553,0.0527456206924664
"Lrrc52",0.734456444619641,0.015651486731191,0.0127447064972966,0.0563795164703278
"Lrrn1",0.685360662199423,0.0154996969497678,0.0125929167158734,0.0519987705496441
"Lrrn2",0.748072526606225,0.0139631684536474,0.011056388219753,0.0591889082091777
"Lrrtm2",0.726833267638884,0.0132858741699307,0.0103790939360363,0.0552507188477403
"Lrrtm3",0.779033504138765,0.0221211614197407,0.0192143811858463,0.0740847383929614
"Lrtm2",0.731304690579365,0.0259241454151209,0.0230173651812265,0.0813082413337653
"Lsamp",0.728195506503713,0.0166044623296639,0.0136976820957695,0.0597587845690047
"Lta",0.776778872684224,0.0126980562774488,0.00979127604355436,0.0423681888355535
"Ltb",0.758976744186021,0.0136887681426103,0.0107819879087159,0.0327744565026592
"Ltbp1",0.725885691761899,0.0144189658571311,0.0115121856232367,0.055439538779837
"Ltbp3",0.661448955459161,0.00749634649303319,0.00458956625913878,0.0360282333748275
"Ltf",0.75124635396141,0.0313691240749726,0.0284623438410782,0.0192421215499421
"Lum",0.765981868348486,0.0532801900539848,0.0503734098200904,0.0939954930176892
"Lvrn",0.668425699645265,0.00912182972088176,0.00621504948698735,0.0415871247290412
"Ly6g5c",0.710754434371245,0.0173270234911776,0.0144202432572832,0.0622008499813701
"Ly6g6f",0.777431612140342,0.0202324619093007,0.0173256816754062,0.0717643796707893
"Ly86",0.788654316121413,0.0205836179568629,0.0176768377229685,0.0729543339706434
"Ly9",0.757813165155672,0.0154380218451259,0.0125312416112315,0.052570323367336
"Lypd6",0.767547497043796,0.0232034710600645,0.0202966908261701,0.070369206733661
"Lyz1",0.750193141505654,0.0178763349169479,0.0149695546830535,0.0652709880721092
"Lyz2",0.750193141505654,0.0178763349169479,0.0149695546830535,0.0652709880721092
"Madcam1",0.731621600315315,0.017188274493357,0.0142814942594626,0.0592450713699699
"Mag",0.776285376428856,0.0216134118341708,0.0187066316002764,0.0771282166926662
"Mansc1",0.760778872684262,0.021607550314749,0.0187007700808546,0.068086044305005
"Matn1",0.742106424911209,0.0170469326998117,0.0141401524659173,0.0616219071101349
"Mbl2",0.754070161608097,0.0465981449442891,0.0436913647103947,0.110039172412833
"Mcam",0.748553409538809,0.0165102779730724,0.013603497739178,0.0499650812959629
"Mdk",0.727394560504515,0.0190716054735698,0.0161648252396754,0.0514579954677805
"Megf10",0.727225857311751,0.00973927078805747,0.00683249055416307,0.0515738864253857
"Meltf",0.793059519117008,0.0171093634217795,0.0142025831878851,0.0635253284660808
"Mfap2",0.782208908159246,0.0169738512353534,0.014067071001459,0.0687380890535894
"Mfap3l",0.722245171462304,0.0173528323534598,0.0144460521195654,0.0604283106042457
"Mfap5",0.740490342924742,0.00973482969300038,0.00682804945910597,0.0530539677012374
"Mfge8",0.749447378793857,0.0150129010180167,0.0121061207841223,0.0574247386310238
"Mfng",0.754637761135115,0.00991269086440784,0.00700591063051343,0.0555185282617269
"Mia",0.735415057154088,0.00967742327403022,0.00677064304013581,0.0465894990824425
"Mif",0.751027197477381,0.00799848155069581,0.0050917013168014,0.0240792337593027
"Mill1",0.730916830902542,0.0156953565550032,0.0127885763211088,0.0509654805231694
"Mill2",0.732208119826487,0.0160705585179349,0.0131637782840405,0.0524754519843851
"Mmp12",0.725835238470635,0.0125661402507588,0.00965936001686438,0.0547998554562905
"Mmp13",0.736778872684237,0.0133852214310356,0.0104784411971412,0.0579786633485794
"Mmp14",0.73469136775723,0.015239212004965,0.0123324317710706,0.0529113908710795
"Mmp15",0.671768230193102,0.00893698094130686,0.00603020070741245,0.0401860563691965
"Mmp16",0.737441072132483,0.0184365108272966,0.0155297305934022,0.0646405319249497
"Mmp1a",0.725606621994439,0.0175992299239048,0.0146924496900104,0.0604567434068524
"Mmp1b",0.725606621994439,0.0175992299239048,0.0146924496900104,0.0604567434068524
"Mmp2",0.745944028379958,0.0225215574002903,0.0196147771663959,0.0668625388093875
"Mmp25",0.751769806858499,0.0226713804225826,0.0197646001886882,0.0740474065492992
"Mmp7",0.719282617264469,0.0110138273876699,0.00810704715377551,0.0457512404570572
"Mmp9",0.776405202995681,0.0207304062162646,0.0178236259823702,0.0646838635660651
"Mmrn2",0.667992116673226,0.00883168131322776,0.00592490107933335,0.0399486209811223
"Mpdz",0.757387465510469,0.0167357460341059,0.0138289658002114,0.0637807965004949
"Mpig6b",0.732146629877733,0.0263543515722549,0.0234475713383605,0.0705837356957058
"Mpz",0.744882932597554,0.0189171239238201,0.0160103436899257,0.0632310983059935
"Mpzl3",0.753970831690906,0.0166340343248589,0.0137272540909645,0.0635982097352359
"Msmb",0.636766259361464,0.00719942273539831,0.0042926425015039,0.034236686419916
"Msmp",0.694727631060282,0.0217816281970568,0.0188748479631623,0.0579989004964243
"Msn",0.761909341742203,0.0223406663717051,0.0194338861378107,0.0713425423169416
"Mst1",0.732829325975589,0.0120343315659846,0.00912755133209019,0.0307064503751805
"Mstn",0.696455656286964,0.00557718753745144,0.00267040730355703,0.0128100585915492
"Muc1",0.776461962948391,0.0164791236053081,0.0135723433714137,0.0555233263767993
"Muc4",0.743142294048077,0.0162548532819469,0.0133480730480525,0.0632101768588539
"Mug1",0.737021679148507,0.015899944569294,0.0129931643353995,0.0565152530389619
"Mug2",0.737021679148507,0.015899944569294,0.0129931643353995,0.0565152530389619
"Mxra8",0.762607804493512,0.0174405849209351,0.0145338046870407,0.0666064199086188
"Myoc",0.767884903429162,0.0090375233109427,0.00613074307704829,0.0139185695315946
"Naaladl1",0.783963736696766,0.0141054471094,0.0111986668755056,0.0688117787295475
"Nampt",0.761530942057506,0.0289713766241118,0.0260645963902174,0.101263023274066
"Ncam1",0.769702798581004,0.0194713313485187,0.0165645511146243,0.064420514308278
"Ncan",0.752242806464342,0.0258179553025763,0.0229111750686819,0.0742637788846226
"Ndp",0.783648403626299,0.0219350074350061,0.0190282272011117,0.0733606250223817
"Nectin1",0.758929444225423,0.0199093241480612,0.0170025439141668,0.0673437369526868
"Nectin2",0.711427670476957,0.00947171009780819,0.00656492986391378,0.0394299698738424
"Nectin3",0.721874655104428,0.0112067753192145,0.00829999508532005,0.0383116521255161
"Nectin4",0.721980291683085,0.0166140866562651,0.0137073064223707,0.0576122441572806
"Negr1",0.754041781631849,0.0229224553072821,0.0200156750733877,0.0703703926651682
"Nell2",0.718297201418906,0.00677315091419522,0.00386637068030081,0.0431719942675411
"Neo1",0.757433188805704,0.0173646797966232,0.0144578995627288,0.0668635941787423
