"gene_list","test_ligand","auroc","aupr","aupr_corrected","pearson"
"LLM_cell_death","Lamc2",0.741873078439077,0.0187781627175149,0.0158713824836205,0.0645266558176071
"LLM_cell_death","Lamc3",0.760867165943985,0.0233416388229613,0.0204348585890669,0.0581948057505878
"LLM_cell_death","Layn",0.770495861253455,0.0246412298589972,0.0217344496251028,0.0781951680306714
"LLM_cell_death","Lcn11",0.695569570358683,0.0102950783633866,0.00738829812949217,0.04733415204521
"LLM_cell_death","Lcn2",0.762018131651525,0.0287118268615872,0.0258050466276928,0.104037947304099
"LLM_cell_death","Leap2",0.769426882144273,0.0225292658964904,0.019622485662596,0.0639549311911985
"LLM_cell_death","Lefty1",0.719605833661768,0.0122080313726028,0.0093012511387084,0.0542620406839083
"LLM_cell_death","Lefty2",0.701939298383862,0.0110120476744482,0.00810526744055382,0.0490265127345964
"LLM_cell_death","Lep",0.787229010642458,0.0263617349467011,0.0234549547128066,0.102776159459173
"LLM_cell_death","Lfng",0.73600157666531,0.0114694189215464,0.00856263868765195,0.0558645515420495
"LLM_cell_death","Lgals1",0.754054394954654,0.0181270368718859,0.0152202566379915,0.0492229702055174
"LLM_cell_death","Lgals3",0.753288135593223,0.0182190606648609,0.0153122804309664,0.0840013780392887
"LLM_cell_death","Lgals3bp",0.762060701616039,0.0159264407635656,0.0130196605296712,0.0571170483816982
"LLM_cell_death","Lgi1",0.714495861253393,0.0147002579820578,0.0117934777481634,0.0560011580573045
"LLM_cell_death","Lgi2",0.71808592826171,0.0133915102084122,0.0104847299745178,0.0548539608125981
"LLM_cell_death","Lgi3",0.758524241229771,0.0414818338041643,0.0385750535702698,0.0783370375430577
"LLM_cell_death","Lgi4",0.742189988175009,0.0150247919037285,0.0121180116698341,0.0505576285709355
"LLM_cell_death","Lhb",0.758718171068174,0.0167711679672897,0.0138643877333953,0.0631436957828806
"LLM_cell_death","Lif",0.747345683878578,0.0490870514156873,0.0461802711817929,0.109718791295416
"LLM_cell_death","Lilr4b",0.786558927867536,0.0298656286568168,0.0269588484229224,0.0876018709541362
"LLM_cell_death","Lilra5",0.766680331099739,0.0214082315141257,0.0185014512802313,0.0687115955379898
"LLM_cell_death","Lilra6",0.772692156089858,0.0213629074535406,0.0184561272196462,0.0694142648412985
"LLM_cell_death","Lilrb4a",0.786615687820241,0.0301509437534764,0.027244163519582,0.0879419146129386
"LLM_cell_death","Lin7a",0.732504532912939,0.0153592105712523,0.0124524303373579,0.0552307999717269
"LLM_cell_death","Lin7b",0.723717776901864,0.0174729527748711,0.0145661725409767,0.05713492716541
"LLM_cell_death","Lin7c",0.721743791880184,0.0162173225759067,0.0133105423420122,0.0575278431153621
"LLM_cell_death","Lingo4",0.728014189988135,0.014462189158426,0.0115554089245316,0.0576112022339248
"LLM_cell_death","Lipc",0.776821442648738,0.0184794120033135,0.0155726317694191,0.069207097795372
"LLM_cell_death","Liph",0.789240835632626,0.0190541451660421,0.0161473649321477,0.0703346709084367
"LLM_cell_death","Lpl",0.783399290500637,0.0444884406984346,0.0415816604645402,0.110128607374115
"LLM_cell_death","Lrch4",0.687054000788297,0.0142015266760645,0.01129474644217,0.0506749202912199
"LLM_cell_death","Lrfn1",0.744286953094189,0.0171048189509588,0.0141980387170644,0.0619986304940982
"LLM_cell_death","Lrfn3",0.736476152936524,0.0183665259831061,0.0154597457492117,0.0617206646224958
"LLM_cell_death","Lrfn4",0.749832085139932,0.0191742838523239,0.0162675036184295,0.0658503100568579
"LLM_cell_death","Lrfn5",0.757928261726435,0.0230180129134143,0.0201112326795199,0.0736407216034842
"LLM_cell_death","Lrig1",0.75068190776512,0.0389707348243674,0.036063954590473,0.0845770939187315
"LLM_cell_death","Lrig2",0.637537248718942,0.0078506214507444,0.00494384121684999,0.0369501854788734
"LLM_cell_death","Lrit1",0.753439495467067,0.0166297285807657,0.0137229483468713,0.0658890263446448
"LLM_cell_death","Lrit2",0.75111549073703,0.0199556460116419,0.0170488657777475,0.0751786701207974
"LLM_cell_death","Lrp1b",0.754421757981892,0.0118776240770434,0.00897084384314902,0.0530287707878624
"LLM_cell_death","Lrpap1",0.73335120220727,0.0183743479815885,0.0154675677476941,0.0552803005263443
"LLM_cell_death","Lrrc4",0.723421363815443,0.0316007961937584,0.028694015959864,0.0694864120602806
"LLM_cell_death","Lrrc4b",0.760972802522656,0.0215943652917694,0.018687585057875,0.0698057480136099
"LLM_cell_death","Lrrc4c",0.695646826960962,0.0154201647549497,0.0125133845210553,0.0527456206924664
"LLM_cell_death","Lrrc52",0.734456444619641,0.015651486731191,0.0127447064972966,0.0563795164703278
"LLM_cell_death","Lrrn1",0.685360662199423,0.0154996969497678,0.0125929167158734,0.0519987705496441
"LLM_cell_death","Lrrn2",0.748072526606225,0.0139631684536474,0.011056388219753,0.0591889082091777
"LLM_cell_death","Lrrtm2",0.726833267638884,0.0132858741699307,0.0103790939360363,0.0552507188477403
"LLM_cell_death","Lrrtm3",0.779033504138765,0.0221211614197407,0.0192143811858463,0.0740847383929614
"LLM_cell_death","Lrtm2",0.731304690579365,0.0259241454151209,0.0230173651812265,0.0813082413337653
"LLM_cell_death","Lsamp",0.728195506503713,0.0166044623296639,0.0136976820957695,0.0597587845690047
"LLM_cell_death","Lta",0.776778872684224,0.0126980562774488,0.00979127604355436,0.0423681888355535
"LLM_cell_death","Ltb",0.758976744186021,0.0136887681426103,0.0107819879087159,0.0327744565026592
"LLM_cell_death","Ltbp1",0.725885691761899,0.0144189658571311,0.0115121856232367,0.055439538779837
"LLM_cell_death","Ltbp3",0.661448955459161,0.00749634649303319,0.00458956625913878,0.0360282333748275
"LLM_cell_death","Ltf",0.75124635396141,0.0313691240749726,0.0284623438410782,0.0192421215499421
"LLM_cell_death","Lum",0.765981868348486,0.0532801900539848,0.0503734098200904,0.0939954930176892
"LLM_cell_death","Lvrn",0.668425699645265,0.00912182972088176,0.00621504948698735,0.0415871247290412
"LLM_cell_death","Ly6g5c",0.710754434371245,0.0173270234911776,0.0144202432572832,0.0622008499813701
"LLM_cell_death","Ly6g6f",0.777431612140342,0.0202324619093007,0.0173256816754062,0.0717643796707893
"LLM_cell_death","Ly86",0.788654316121413,0.0205836179568629,0.0176768377229685,0.0729543339706434
"LLM_cell_death","Ly9",0.757813165155672,0.0154380218451259,0.0125312416112315,0.052570323367336
"LLM_cell_death","Lypd6",0.767547497043796,0.0232034710600645,0.0202966908261701,0.070369206733661
"LLM_cell_death","Lyz1",0.750193141505654,0.0178763349169479,0.0149695546830535,0.0652709880721092
"LLM_cell_death","Lyz2",0.750193141505654,0.0178763349169479,0.0149695546830535,0.0652709880721092
"LLM_cell_death","Madcam1",0.731621600315315,0.017188274493357,0.0142814942594626,0.0592450713699699
"LLM_cell_death","Mag",0.776285376428856,0.0216134118341708,0.0187066316002764,0.0771282166926662
"LLM_cell_death","Mansc1",0.760778872684262,0.021607550314749,0.0187007700808546,0.068086044305005
