"test_ligand","auroc","aupr","aupr_corrected","pearson"
"Ceacam15",0.699380292421885,0.0224601248009672,0.0154297726073621,0.0699935326456404
"Ceacam2",0.736522162057442,0.0298758931801907,0.0228455409865856,0.0832871059242834
"Ceacam20",0.665981412045654,0.0219517814280034,0.0149214292343984,0.0637579496278276
"Ceacam3",0.699380292421885,0.0224601248009672,0.0154297726073621,0.0699935326456404
"Ceacam5",0.699380292421885,0.0224601248009672,0.0154297726073621,0.0699935326456404
"Ceacam9",0.699380292421885,0.0224601248009672,0.0154297726073621,0.0699935326456404
"Cel",0.699636894693548,0.0210579845813188,0.0140276323877138,0.0561360522778603
"Cer1",0.678610564158426,0.0172569006712841,0.0102265484776791,0.0610330294914245
"Cfap54",0.678016189508645,0.0139776335098411,0.00694728131623604,0.045412260536187
"Cfc1",0.667166233759443,0.0137579675795213,0.00672761538591623,0.0476840158388842
"Cfd",0.705447757872225,0.0243803259545771,0.017349973760972,0.076144705212797
"Cfh",0.700618136543822,0.0239277163122571,0.016897364118652,0.0751578362581677
"Cfp",0.708039964494677,0.0221287558956992,0.0150984037020941,0.0604838741010915
"Cga",0.707220408259428,0.0249953510859165,0.0179649988923115,0.0815456728330522
"Chad",0.709084047717546,0.0236809749508668,0.0166506227572617,0.0683647764872801
"Chl1",0.642026411705277,0.0174042267020104,0.0103738745084053,0.0530812495134217
"Cib1",0.666810787245281,0.0200898472910879,0.0130594950974828,0.0625635336517254
"Cklf",0.566712990359063,0.0103355244910407,0.00330517229743559,0.0254580685384954
"Clcf1",0.721827754415923,0.0220822507732213,0.0150518985796162,0.0776107665155772
"Cldn1",0.670896131066141,0.0136046721481878,0.00657431995458274,0.0194446475796812
"Cldn11",0.625658852516546,0.0142379797410034,0.00720762754739831,0.0449882314256868
"Cldn14",0.679967545049419,0.0167808122121846,0.00975046001857948,0.0584118978017397
"Cldn16",0.72538680174071,0.0214188078401053,0.0143884556465002,0.0791002578641406
"Cldn19",0.721919398084409,0.024890926324627,0.017860574131022,0.0803000803930195
"Cldn2",0.674835499615067,0.0180167665404492,0.0109864143468442,0.0602033941288882
"Cldn24",0.700284291751543,0.0176709533824829,0.0106406011888778,0.063221846920969
"Cldn3",0.711329317595017,0.0249099266496727,0.0178795744560676,0.0767417209986377
"Clec11a",0.721314549872468,0.0293012009633616,0.0222708487697565,0.0889716046723758
"Clec2d",0.71027017862665,0.0190024557616679,0.0119721035680628,0.0336629131464358
"Clec2e",0.713107204763419,0.0190399206571894,0.0120095684635843,0.0326367231898936
"Clec2f",0.701726370334712,0.018436401916657,0.0114060497230519,0.0588513526429708
"Clec2g",0.713107204763419,0.0190399206571894,0.0120095684635843,0.0326367231898936
"Clec2h",0.713107204763419,0.0190399206571894,0.0120095684635843,0.0326367231898936
"Clec2i",0.713107204763419,0.0190399206571894,0.0120095684635843,0.0326367231898936
"Clec2l",0.697000830029761,0.0214093688175535,0.0143790166239485,0.0696384312333095
"Clec3a",0.701202037631539,0.0211525963900784,0.0141222441964733,0.0696641416386997
"Clec4g",0.796805367176948,0.0575571542523643,0.0505268020587592,0.120310246247024
"Clmp",0.708233070796037,0.0225525198511194,0.0155221676575144,0.0715439507285275
"Clu",0.707343472614255,0.0241431164139176,0.0171127642203125,0.0743248385136423
"Cmtm8",0.66925178181476,0.016372908487376,0.00934255629377089,0.0498086149477263
"Cnmd",0.671546146514644,0.0175821293970656,0.0105517772034605,0.0597902525422927
"Cntf",0.762889354671452,0.0239464409965653,0.0169160888029602,0.0769910944680186
"Cntn1",0.725159656362449,0.0268992855582324,0.0198689333646274,0.0842352011217032
"Cntn2",0.707232845614445,0.0259097110369523,0.0188793588433472,0.0753288009386174
"Cntn3",0.698355192530309,0.0219605830958994,0.0149302309022943,0.0708440501464535
"Cntn4",0.696199602528316,0.0201905210429713,0.0131601688493662,0.068942120968903
"Cntn5",0.656978730813763,0.0147925068610694,0.00776215466746436,0.052380439082751
"Cntn6",0.699116489576164,0.0239659527855599,0.0169356005919548,0.0733666427419562
"Col10a1",0.69278325748727,0.0168455283102215,0.00981517611661645,0.0350105884432857
"Col11a1",0.704469789010072,0.0209117638009968,0.0138814116073918,0.0537854173303936
"Col11a2",0.728860096775737,0.0275462874962655,0.0205159353026604,0.0755482211114675
"Col12a1",0.707245937567061,0.0260673351737464,0.0190369829801413,0.0727480407058223
"Col13a1",0.689547581392641,0.0227541029895853,0.0157237507959802,0.0713654766753476
"Col14a1",0.711314916447165,0.0260535113186477,0.0190231591250427,0.0802523219385595
