"test_ligand","auroc","aupr","aupr_corrected","pearson"
"Angptl7",0.667596422729346,0.00766209375021008,0.00347092225017628,0.0355513039189683
"Anpep",0.688012004528472,0.00922188291206101,0.00503071141202721,0.0398053767404991
"Antxr1",0.63667742592426,0.00681910681278695,0.00262793531275315,0.0291556009771064
"Anxa1",0.654853928844335,0.00800123828904916,0.00381006678901536,0.0311009026294643
"Anxa2",0.651987469917494,0.00897959143846508,0.00478841993843128,0.0380586994944112
"Apln",0.661016049104279,0.00703706755338653,0.00284589605335273,0.00111688111585056
"Apoa1",0.662442709143098,0.00772109487981225,0.00352992337977845,0.026221845417865
"Apoa2",0.660728089326616,0.00818337857806544,0.00399220707803164,0.0372748799623106
"Apoa4",0.662199640433449,0.00858082916169371,0.00438965766165991,0.0384424953007293
"Apoa5",0.622548783452056,0.00695412525111259,0.00276295375107879,0.0291121192807331
"Apob",0.653037482946874,0.0081596109144626,0.0039684394144288,0.0342709721913434
"Apoc1",0.658029150726615,0.00837420186359073,0.00418303036355693,0.0372299428928227
"Apoc2",0.660002167910086,0.00831543884663129,0.00412426734659749,0.0381743330137738
"Apoc3",0.660589036506287,0.00937910182608323,0.00518793032604943,0.0369303733572372
"Apoc4",0.649903867420273,0.00753287852068784,0.00334170702065404,0.0340526454894742
"Apod",0.628834627874916,0.00680355274351118,0.00261238124347738,0.012077053035707
"Apoe",0.666666849150653,0.00761852906309597,0.00342735756306217,0.0269526549492424
"Apoo",0.636791295950385,0.00714206214320579,0.00295089064317199,0.0305263709090273
"App",0.675620974858805,0.00926385648952489,0.00507268498949109,0.0252533218146112
"Areg",0.660372245495031,0.00839175781329534,0.00420058631326154,0.0258496134838038
"Arf1",0.631437214914295,0.00671525847372671,0.00252408697369291,0.0282884229060202
"Armh4",0.633102564046433,0.00682943763728627,0.00263826613725247,0.0300758786119448
"Artn",0.651088553653574,0.00817086284788644,0.00397969134785264,0.0330295448299949
